規模,産業,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,調査産業計,410106,399358,371918,27440,10748,105267,104693,100585,4108,574
５人以上,鉱業,500128,493168,466455,26713,6960,50387,50387,50387,0,0
５人以上,建設業,394934,392158,363935,28223,2776,175767,172658,167244,5414,3109
５人以上,製造業,421688,407331,381137,26194,14357,120088,119726,115607,4119,362
５人以上,電気・ガス・熱供給・水道業,534640,504013,454205,49808,30627,233607,219839,209802,10037,13768
５人以上,情報通信業,409880,401711,365046,36665,8169,133750,132424,121637,10787,1326
５人以上,運輸業,387749,380077,324738,55339,7672,119382,119084,107210,11874,298
５人以上,卸売・小売業,412111,400723,382755,17968,11388,100347,100145,97000,3145,202
５人以上,金融・保険業,496178,485748,450546,35202,10430,139672,138322,133451,4871,1350
５人以上,不動産業,396460,387543,368905,18638,8917,96668,96606,93833,2773,62
５人以上,"飲食店,宿泊業",310824,306513,284828,21685,4311,82015,82008,78277,3731,7
５人以上,"医療,福祉",385744,375397,353213,22184,10347,125180,124631,120745,3886,549
５人以上,"教育,学習支援業",469041,440978,424749,16229,28063,93034,91350,90166,1184,1684
５人以上,複合サービス事業,501780,467863,447144,20719,33917,129598,129533,120160,9373,65
５人以上,サービス業（他に分類されないもの）,381578,373597,345796,27801,7981,118954,117679,112675,5004,1275
30人以上,調査産業計,434500,422052,390204,31848,12448,118957,118046,112471,5575,911
30人以上,鉱業,500128,493168,466455,26713,6960,50387,50387,50387,0,0
30人以上,建設業,413744,409451,375722,33729,4293,197898,190519,184825,5694,7379
30人以上,製造業,452499,434915,403754,31161,17584,135000,134217,126813,7404,783
30人以上,電気・ガス・熱供給・水道業,545963,519367,466303,53064,26596,238832,224481,214019,10462,14351
30人以上,情報通信業,419908,412511,371797,40714,7397,140083,139080,125826,13254,1003
30人以上,運輸業,387532,381485,325479,56006,6047,130107,129716,116412,13304,391
30人以上,卸売・小売業,443008,428110,406426,21684,14898,116470,116107,111741,4366,363
30人以上,金融・保険業,522825,512692,477556,35136,10133,141549,140898,135515,5383,651
30人以上,不動産業,418654,405740,378825,26915,12914,88750,88628,86648,1980,122
30人以上,"飲食店,宿泊業",380132,377952,349323,28629,2180,85630,85630,81131,4499,0
30人以上,"医療,福祉",403986,391172,364550,26622,12814,144983,143976,138705,5271,1007
30人以上,"教育,学習支援業",503450,473614,454793,18821,29836,98763,98050,97008,1042,713
30人以上,複合サービス事業,544156,505541,483528,22013,38615,140642,140642,128684,11958,0
30人以上,サービス業（他に分類されないもの）,394532,384919,352654,32265,9613,121703,119879,114036,5843,1824
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,,,
第５表  産業、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,,
