規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,444181,509507,307268,430394,493528,298074,394525,35869,13787,15979,9194
100～499人,384826,445091,265308,376681,436457,258131,349572,27109,8145,8634,7177
100人以上,408969,471576,282002,398529,459922,274022,367857,30672,10440,11654,7980
30～99人,424649,497622,287440,349590,409017,237851,331266,18324,75059,88605,49589
５～29人,260730,329279,178570,256911,324191,176272,246321,10590,3819,5088,2298
30人以上,414731,480990,284063,380549,441521,260309,354414,26135,34182,39469,23754
５人以上,364876,438166,242619,340524,408402,227294,319421,21103,24352,29764,15325
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
