事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業／入職率(％),鉱業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業／入職率(％),運輸業／離職率(％),卸売・小売業／入職率(％),卸売・小売業／離職率(％),金融・保険業／入職率(％),金融・保険業／離職率(％),不動産業／入職率(％),不動産業／離職率(％),飲食店・宿泊業／入職率(％),飲食店・宿泊業／離職率(％),医療・福祉／入職率(％),医療・福祉／離職率(％),教育・学習支援業／入職率(％),教育・学習支援業／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
５人以上,平成17,2005,年平均,r2.14,r2.13,r2.18,r1.95,r1.45,r1.22,r1.48,r1.57,r1.64,r1.01,r2.60,r2.11,r1.51,r1.52,r2.02,r1.94,r1.95,r2.08,r2.24,r2.01,r3.73,r4.32,r2.30,r2.65,r2.18,r2.32,r2.17,r1.87,r2.21,r2.07
５人以上,平成18,2006,年平均,r2.22,r2.09,r1.84,r1.76,r1.53,r1.33,r1.41,r1.41,r0.82,r0.92,r2.13,r2.04,r1.68,r1.72,r2.26,r1.97,r2.24,r2.01,r1.52,r1.59,r4.49,r4.42,r2.17,r2.16,r2.23,r2.25,r2.44,r2.12,r2.30,r2.13
５人以上,平成19,2007,年平均,2.26,2.13,1.44,1.71,1.45,1.48,1.36,1.33,1.84,1.86,1.69,1.61,1.87,1.72,2.14,2.09,2.46,1.99,2.25,2.14,4.67,4.29,2.66,2.58,2.25,2.01,1.76,2.13,2.46,2.29
５人以上,平成20,2008,年平均,2.22,2.05,1.52,1.17,1.55,1.34,1.26,1.28,2.49,1.55,1.61,1.36,1.8,1.81,2.26,1.94,1.99,1.92,2.25,2.33,4.51,4.27,2.5,2.31,2.53,2.39,1.27,1.36,2.39,2.27
５人以上,平成20,2008,1月,1.4,1.7,1.3,0.96,0.86,1.22,0.83,1.22,0.61,0.72,1.31,1.63,1.26,1.35,1.27,1.59,1.28,1.51,1.58,1.93,3.03,3.18,2.37,2.27,0.65,1.04,0.29,0.34,1.47,1.91
５人以上,平成20,2008,2月,1.71,1.93,1.2,1.2,1.13,1.03,0.88,0.8,0.28,0.34,1.79,1.04,1.41,1.23,1.62,2.32,1.92,1.94,1.34,2.36,3.16,4.49,1.9,1.86,1.01,2.78,2.9,2.81,2.04,1.77
５人以上,平成20,2008,3月,2.02,2.09,0.82,1.58,0.82,1.04,1.23,1.17,0.57,0.31,1.62,1.18,1.77,1.66,2.17,2.07,2.38,2.11,1.09,1.93,4.73,4.79,2.21,2.66,1.35,3.5,0.71,2.1,2.04,1.92
５人以上,平成20,2008,4月,6.29,4.29,4.21,3,6.8,3.26,4.26,2.32,6.78,5.19,6.78,2.47,3.72,3.04,4.49,3.04,7.42,5.5,10,6.19,5.44,7.45,8.9,6.13,14.86,8,5.48,4.41,6.27,4.95
５人以上,平成20,2008,5月,2.25,2.16,0.57,1,1.21,2.06,1.12,1.33,0.87,1.7,0.99,1.27,1.84,3.13,2.37,1.99,2.16,1.48,2.42,2.17,6.58,3.8,2.38,2.72,2.22,1.95,0.74,0.84,2.31,2.59
５人以上,平成20,2008,6月,1.86,1.93,0.38,0.58,1.27,1.27,0.89,1.42,0.25,3.33,0.87,1.99,2.19,1.85,2.06,1.52,0.87,2.1,1.41,1.85,4.87,4.13,2.42,2.13,1.11,1.01,0.24,0.43,2.13,2.18
５人以上,平成20,2008,7月,1.96,1.86,1.68,1.2,1.61,0.97,1.31,1.2,3.25,3.93,0.92,1.35,1.89,1.83,1.95,1.79,1.61,1.78,2.04,2.27,4.72,4.21,1.99,1.47,1.2,0.69,1.34,0.92,2.19,2.38
５人以上,平成20,2008,8月,1.42,1.9,1.39,0.67,1,1.25,1.03,1.02,0.32,1.6,0.64,1.29,1.19,1.69,1.44,1.95,0.95,1.48,1.01,1.89,2.79,4.05,1.94,2.19,1.18,1.98,0.78,1.08,1.84,2.15
５人以上,平成20,2008,9月,2.06,1.79,3.19,1.14,1.19,0.96,0.89,1.39,7,0.26,0.93,0.97,1.74,1.25,3.55,1.85,1.11,1.38,1.64,1.5,3.53,4.08,1.8,1.78,1.45,2.26,0.83,1.53,1.87,1.95
５人以上,平成20,2008,10月,2.27,2.03,2.24,1.77,1.12,1.43,1.39,1.67,0.44,0.8,2,1.31,1.53,2.14,2.05,2.09,2.24,2.08,1.68,2.68,5.65,3.75,1.59,1.72,3.83,2.18,0.66,1.07,2.35,2.07
５人以上,平成20,2008,11月,1.85,1.58,0.51,0.51,0.84,1.01,0.68,1.09,9.37,0.24,0.77,1.02,1.15,1.23,2.65,1.6,1.01,0.74,1.3,1.42,5.83,3.56,1.33,1.51,0.87,2.22,0.83,0.69,1.61,1.78
５人以上,平成20,2008,12月,1.58,1.36,0.79,0.37,0.78,0.52,0.64,0.73,0.11,0.2,0.72,0.81,1.87,1.28,1.55,1.44,0.95,0.88,1.45,1.78,3.84,3.71,1.17,1.32,0.68,1.03,0.41,0.05,2.53,1.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成20年確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１２－１表　産業別労働異動率　 （事業所規模５人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位：%) 平成19年から小数点以下第2位まで表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
