産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.58,1.36,1.4,1.09
鉱業,0.79,0.37,0.79,0.37
建設業,0.78,0.52,0.59,0.58
製造業,0.64,0.73,0.66,0.65
電気・ガス・熱供給・水道業,0.11,0.2,0.12,0.21
情報通信業,0.72,0.81,0.55,0.67
運輸業,1.87,1.28,1.86,1.42
卸売・小売業,1.55,1.44,0.98,1.12
金融・保険業,0.95,0.88,1,1.04
不動産業,1.45,1.78,1.04,1.36
"飲食店,宿泊業",3.84,3.71,3.51,1.93
"医療,福祉",1.17,1.32,1,1.26
"教育,学習支援業",0.68,1.03,0.38,1.21
複合サービス事業,0.41,0.05,0.43,0.06
サービス業（他に分類されないもの）,2.53,1.56,3.03,1.38
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,
第４表  産業別労働異動率,,,,
