規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1196382,1403152,756139,427699,490225,294572,390250,37449,768683,912927,461567
100～499人,964346,1137647,620875,375668,435826,256438,346833,28835,588678,701821,364437
100人以上,1058894,1247340,674424,396869,458301,271535,364524,32345,662025,789039,402889
30～99人,757705,897350,497246,349195,409582,236564,329055,20140,408510,487768,260682
５～29人,467632,596394,312200,256022,321794,176627,244875,11147,211610,274600,135573
30人以上,947560,1120438,606464,379246,440636,258121,351413,27833,568314,679802,348343
５人以上,792544,972541,491338,339445,407096,226238,317001,22444,453099,565445,265100
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
