規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.2,160.7,144.6,16.1,14.2,84,78.4,5.6
100～499人,19.1,160,145.5,14.5,15.5,105,100.9,4.1
100人以上,19.1,160.3,145.1,15.2,15.1,98,93.4,4.6
30～99人,18.9,156.9,144.1,12.8,14.6,89.9,86.4,3.5
５～29人,19.6,159.7,149.9,9.8,13.7,82.2,79.2,3
30人以上,19,159.1,144.8,14.3,14.9,94.2,90.1,4.1
５人以上,19.2,159.3,146.2,13.1,14.2,87.8,84.3,3.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
