規模,産業,１人平均支給額（円）,対前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,対前年支給月数差（か月）
30人以上,調査産業計,707559,0.6,89.6,92.2,1.54,0
30人以上,鉱業,1279270,-0.7,100,100,2.37,-0.62
30人以上,建設業,614952,-0.9,88.5,94.2,1.5,0.15
30人以上,製造業,854379,-4.2,91.3,95.8,1.5,-0.08
30人以上,電気・ガス・熱供給・水道業,1109855,5.5,100,100,2.23,0
30人以上,情報通信業,731380,11.1,75.4,87.4,1.8,0.17
30人以上,運輸業,552689,4.5,94.2,95.5,1.46,0.08
30人以上,卸売・小売業,625666,-6.9,90.2,87.9,1.33,0.03
30人以上,金融・保険業,1122293,8.5,93.4,94.3,2.36,0.14
30人以上,不動産業,658323,-1.9,89.6,90.9,1.73,-0.07
30人以上,"飲食店,宿泊業",348595,41.9,90.1,94.1,0.55,0.04
30人以上,"医療,福祉",603780,-6,100,100,1.78,-0.18
30人以上,"教育,学習支援業",1005685,5.8,86.4,94.8,2.39,-0.07
30人以上,複合サービス事業,655196,-33,100,100,1.99,0
30人以上,サービス業（他に分類されないもの）,608138,-1.1,88.8,91.2,1.48,-0.04
30～99人,調査産業計,548646,1.9,87.9,86.6,1.46,0
30～99人,鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,497215,4,87.5,93.1,1.46,0.14
30～99人,製造業,570015,-1.1,89.5,91,1.33,-0.07
30～99人,電気・ガス・熱供給・水道業,807747,0.9,100,100,2.14,0.05
30～99人,情報通信業,555683,9,66.7,79.6,1.76,0.21
30～99人,運輸業,489437,21.5,93.4,96.3,1.49,0.14
30～99人,卸売・小売業,444734,-10.2,88.2,77,1.21,0.07
30～99人,金融・保険業,913770,5.9,93.4,92,2.41,0.16
30～99人,不動産業,629117,-6.7,89.6,88,1.73,-0.09
30～99人,"飲食店,宿泊業",119472,40.3,89.6,93.1,0.47,0.02
30～99人,"医療,福祉",545642,-10.8,100,100,1.75,-0.21
30～99人,"教育,学習支援業",990565,5.4,84.6,89,2.37,-0.09
30～99人,複合サービス事業,-,-,-,-,-,-
30～99人,サービス業（他に分類されないもの）,585227,7.8,87.6,86.4,1.43,-0.03
100～499人,調査産業計,669194,1.9,95.1,94.4,1.74,0
100～499人,鉱業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,建設業,587433,9.8,92.3,94.5,1.64,0.22
100～499人,製造業,787761,-8.2,99.1,99.5,2,-0.15
100～499人,電気・ガス・熱供給・水道業,1018691,-3,100,100,2.22,-0.08
100～499人,情報通信業,680814,15.9,92.9,84.2,1.8,0.09
100～499人,運輸業,515750,-0.7,96.9,98.2,1.38,-0.02
100～499人,卸売・小売業,602836,-0.9,95.8,95.5,1.6,-0.02
100～499人,金融・保険業,978747,7.9,92.9,90.9,2.15,0.07
100～499人,不動産業,568063,-7.2,88.5,89.8,1.73,-0.02
100～499人,"飲食店,宿泊業",1081810,84.8,100,100,1.87,0.79
100～499人,"医療,福祉",572242,-2.8,100,100,1.94,0
100～499人,"教育,学習支援業",1124364,3.1,100,100,2.54,0.09
100～499人,複合サービス事業,563965,-4.1,100,100,2.03,0.05
100～499人,サービス業（他に分類されないもの）,563175,-4.8,92.7,94,1.57,-0.1
500人以上,調査産業計,994511,-2.4,95.9,97.2,2.27,-0.08
500人以上,鉱業,-,-,-,-,-,-
500人以上,建設業,906851,-13.9,92.1,95.8,1.96,-0.19
500人以上,製造業,1129902,-2.4,95.7,96.5,2.61,-0.02
500人以上,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,情報通信業,931663,-2.6,100,100,2.35,-0.07
500人以上,運輸業,867743,-5.6,80,83.5,2.05,-0.14
500人以上,卸売・小売業,1086205,-5.6,99,98.7,2.35,-0.22
500人以上,金融・保険業,1372734,4.8,96.3,98.7,2.6,0.01
500人以上,不動産業,915922,7.3,100,100,1.97,0.1
500人以上,"飲食店,宿泊業",420921,-4.9,87.5,88.3,1.42,0
500人以上,"医療,福祉",741802,-1.6,100,100,2.08,-0.02
500人以上,"教育,学習支援業",922360,13.5,100,100,2.49,0.11
500人以上,複合サービス事業,855050,-23.5,100,100,1.81,-0.26
500人以上,サービス業（他に分類されないもの）,741452,-10.1,92.8,94.2,1.97,-0.07
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
