規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,544199,456587,418425,38162,87612,115878,112976,105341,7635,2902
100～499人,434474,414806,383761,31045,19668,127976,127542,120188,7354,434
100人以上,479939,432118,398124,33994,47821,123963,122710,115263,7447,1253
30～99人,408025,400433,377811,22622,7592,105663,105444,100725,4719,219
５～29人,360294,346373,332280,14093,13921,87773,86599,84419,2180,1174
30人以上,455139,421191,391119,30072,33948,115351,114585,108422,6163,766
５人以上,429103,400653,374967,25686,28450,100612,99628,95594,4034,984
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
