規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,490130,457395,416818,40577,32735,120001,116251,109121,7130,3750
100～499人,436082,412575,379182,33393,23507,134619,132106,124511,7595,2513
100人以上,458732,431358,394954,36404,27374,129930,127020,119574,7446,2910
30～99人,432696,403298,381089,22209,29398,110026,109689,105173,4516,337
５～29人,350525,343209,328712,14497,7316,92564,92430,89590,2840,134
30人以上,449709,421633,390149,31484,28076,120798,119069,112967,6102,1729
５人以上,422729,400300,373437,26863,22429,105796,104915,100547,4368,881
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年５月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
