規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,163.5,145.1,18.4,14,82.5,76.4,6.1
100～499人,19.6,165.6,149.2,16.4,15.8,108.2,102.6,5.6
100人以上,19.5,164.7,147.5,17.2,15.2,99.7,93.9,5.8
30～99人,19.9,165.8,151.5,14.3,15,91,87.6,3.4
５～29人,20.5,167.4,156.6,10.8,13.8,83.2,80.5,2.7
30人以上,19.7,165.1,148.9,16.2,15.1,95.6,90.9,4.7
５人以上,19.9,165.7,151,14.7,14.4,88.9,85.3,3.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
