規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,615658,461452,418766,42686,154206,133721,120076,113107,6969,13645
100～499人,576476,412897,379697,33200,163579,148931,135473,127768,7705,13458
100人以上,592902,433252,396076,37176,159650,144039,130521,123053,7468,13518
30～99人,531310,402584,380034,22550,128726,117327,110578,106108,4470,6749
５～29人,495902,338688,322960,15728,157214,99098,94293,91275,3018,4805
30人以上,571372,422532,390468,32064,148840,131707,121314,115230,6084,10393
５人以上,550682,399546,371961,27585,151136,114423,106992,102533,4459,7431
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年７月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
