規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.3,170,152.2,17.8,14.8,83.9,78.4,5.5
100～499人,20.5,170.9,155.2,15.7,16.1,106.5,102.4,4.1
100人以上,20.4,170.5,153.9,16.6,15.6,99,94.4,4.6
30～99人,20.5,170,156.5,13.5,15.1,90.1,87.1,3
５～29人,20.7,168.2,158,10.2,13.9,82.7,79.9,2.8
30人以上,20.4,170.3,154.8,15.5,15.4,94.9,91,3.9
５人以上,20.5,169.8,155.7,14.1,14.6,88.4,85.1,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
