規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6609020,4141201,2467819,149731,77032,72699,134067,73611,60456,6624684,4144622,2480062,19.9,10.3,36
５人以上,鉱業,2146,1809,337,48,43,5,38,33,5,2156,1819,337,1.4,0,9.2
５人以上,建設業,357548,299922,57626,4004,3313,691,5130,4340,790,356422,298895,57527,4,1.9,15
５人以上,製造業,727648,534592,193056,10086,7247,2839,12128,8098,4030,725606,533741,191865,9.3,3,26.9
５人以上,電気・ガス・熱供給・水道業,40113,33587,6526,175,158,17,320,290,30,39968,33455,6513,6.8,5.4,13.9
５人以上,情報通信業,616432,483064,133368,12306,5351,6955,8066,5516,2550,620672,482899,137773,5.4,1.8,18.1
５人以上,運輸業,324765,279784,44981,4961,4282,679,6945,5749,1196,322781,278317,44464,10.8,7.6,30.4
５人以上,卸売・小売業,1469325,870194,599131,30135,16579,13556,30653,14334,16319,1468807,872439,596368,26,11.8,46.7
５人以上,金融・保険業,402630,226108,176522,9031,6011,3020,8393,5004,3389,403268,227115,176153,6.4,1.4,12.8
５人以上,不動産業,114469,77750,36719,1923,1349,574,3065,2027,1038,113327,77072,36255,13.7,6.5,29
５人以上,"飲食店,宿泊業",478548,234254,244294,27056,11500,15556,17950,9809,8141,487654,235945,251709,64.3,49.6,78.1
５人以上,"医療,福祉",417875,93419,324456,6664,1094,5570,7199,1588,5611,417340,92925,324415,29.4,20.3,32
５人以上,"教育,学習支援業",355138,197484,157654,13615,5680,7935,7743,5063,2680,361010,198101,162909,23.5,19.7,28.2
５人以上,複合サービス事業,54844,39026,15818,360,127,233,589,259,330,54615,38894,15721,19.5,10.8,41.2
５人以上,サービス業（他に分類されないもの）,1247539,770208,477331,29367,14298,15069,25848,11501,14347,1251058,773005,478053,16.9,10.6,27.1
30人以上,調査産業計,4473332,2980539,1492793,89457,46179,43278,83447,49441,34006,4479342,2977277,1502065,13.8,6.8,27.6
30人以上,鉱業,2146,1809,337,48,43,5,38,33,5,2156,1819,337,1.4,0,9.2
30人以上,建設業,216234,188932,27302,2249,1896,353,2852,2488,364,215631,188340,27291,2.8,1.4,12.8
30人以上,製造業,519432,396857,122575,7356,5349,2007,9426,6102,3324,517362,396104,121258,6,1.8,19.6
30人以上,電気・ガス・熱供給・水道業,37258,30957,6301,175,158,17,265,235,30,37168,30880,6288,7,5.9,12.6
30人以上,情報通信業,517702,414206,103496,11350,4633,6717,6219,4518,1701,522833,414321,108512,5.4,1.8,19.1
30人以上,運輸業,256125,224378,31747,4302,3821,481,5348,4523,825,255079,223676,31403,10.1,7.9,25.7
30人以上,卸売・小売業,863742,551813,311929,14313,6674,7639,15726,9062,6664,862329,549425,312904,17.6,5.7,38.4
30人以上,金融・保険業,333569,192609,140960,6427,4853,1574,6512,4258,2254,333484,193204,140280,6,1.5,12.2
30人以上,不動産業,67119,47187,19932,1278,782,496,1836,1198,638,66561,46771,19790,11.8,6.3,24.8
30人以上,"飲食店,宿泊業",178857,101564,77293,5759,2738,3021,5662,2212,3450,178954,102090,76864,51.1,35.3,72.1
30人以上,"医療,福祉",265712,62902,202810,4159,815,3344,4590,895,3695,265281,62822,202459,21.8,17.6,23
30人以上,"教育,学習支援業",265980,160024,105956,12584,5030,7554,6467,4206,2261,272097,160848,111249,17.6,14.5,22
30人以上,複合サービス事業,38748,32081,6667,254,127,127,253,114,139,38749,32094,6655,18.4,12.7,45.5
30人以上,サービス業（他に分類されないもの）,910708,575220,335488,19203,9260,9943,18253,9597,8656,911658,574883,336775,15.5,9.6,25.7
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
