規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.5,18.8,17.9,152.6,158.6,140.2,136.4,140.6,127.6,16.2,18,12.6
100～499人,19,19.4,18.2,156.8,164.2,142.1,142.4,148,131.2,14.4,16.2,10.9
100人以上,18.8,19.2,18.1,155.1,161.9,141.4,139.9,145,129.8,15.2,16.9,11.6
30～99人,19,19.6,18,151.6,161.6,132.6,139.8,147.5,125.3,11.8,14.1,7.3
５～29人,18.6,19.8,17.2,141.9,159.1,120.3,134.1,148.4,116.1,7.8,10.7,4.2
30人以上,18.9,19.3,18.1,153.8,161.8,138.1,139.9,145.9,128.1,13.9,15.9,10
５人以上,18.8,19.5,17.7,149.9,161,131.1,138,146.6,123.4,11.9,14.4,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
