規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,168.7,150.6,18.1,14.4,85.2,79.4,5.8
100～499人,20.3,171.6,154.5,17.1,16.2,111.8,106.6,5.2
100人以上,20.2,170.4,152.9,17.5,15.7,103.3,97.9,5.4
30～99人,20.6,172,157.5,14.5,15.3,92.5,89.1,3.4
５～29人,21.3,172.4,162.1,10.3,14.1,85.5,82.6,2.9
30人以上,20.4,171,154.5,16.5,15.5,98.3,93.8,4.5
５人以上,20.6,171.4,156.6,14.8,14.8,91.5,87.9,3.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
