規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,474751,461045,420434,40611,13706,120539,119450,112408,7042,1089
100～499人,441391,412436,380486,31950,28955,133995,133830,126712,7118,165
100人以上,455305,432709,397147,35562,22596,129531,129059,121967,7092,472
30～99人,411777,400604,378399,22205,11173,112569,112302,107588,4714,267
５～29人,352032,334778,320032,14746,17254,93346,92934,89739,3195,412
30人以上,440097,421492,390597,30895,18605,121514,121139,115171,5968,375
５人以上,416060,397824,371337,26487,18236,106421,106026,101544,4482,395
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年８月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
