規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.5,18.7,17.9,151.6,157.5,138.9,135.4,139.8,126,16.2,17.7,12.9
100～499人,18.8,19.3,17.9,154.5,162.5,138.6,140.5,146.7,128.1,14,15.8,10.5
100人以上,18.7,19.1,17.9,153.3,160.4,138.8,138.4,143.9,127.3,14.9,16.5,11.5
30～99人,18.6,19.1,17.6,149.3,158.9,130.8,137.7,145.2,123.4,11.6,13.7,7.4
５～29人,18.4,19.5,17,139.8,156.9,119.2,132.1,146.7,114.6,7.7,10.2,4.6
30人以上,18.7,19.1,17.8,151.7,159.9,135.7,138.1,144.4,125.8,13.6,15.5,9.9
５人以上,18.6,19.2,17.5,147.9,159,129.2,136.2,145,121.4,11.7,14,7.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
