規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,514084,464002,420422,43580,50082,125810,121685,115058,6627,4125
100～499人,441961,413685,380024,33661,28276,131135,130382,123605,6777,753
100人以上,471981,434629,396839,37790,37352,129358,127480,120753,6727,1878
30～99人,457484,398895,375755,23140,58589,106954,105804,101836,3968,1150
５～29人,349080,336013,320829,15184,13067,93561,92612,89882,2730,949
30人以上,466834,421942,389353,32589,44892,119042,117499,112043,5456,1543
５人以上,434823,398583,370726,27857,36240,105546,104318,100305,4013,1228
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
