規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.8,20,19.3,161.6,167.4,149.2,145,149.2,135.9,16.6,18.2,13.3
100～499人,19.9,20.3,19,162.3,170.3,146.6,148.2,154.5,135.7,14.1,15.8,10.9
100人以上,19.8,20.2,19.1,162,169.1,147.6,146.9,152.3,135.8,15.1,16.8,11.8
30～99人,19.6,20.1,18.5,156.3,166.1,137.8,144.6,152.3,130,11.7,13.8,7.8
５～29人,18.5,19.6,17.1,140.3,157.4,119.9,132.5,147,115.2,7.8,10.4,4.7
30人以上,19.7,20.2,18.9,159.9,168,143.9,146,152.3,133.6,13.9,15.7,10.3
５人以上,19.3,20,18.2,153.6,165,134.4,141.7,150.8,126.3,11.9,14.2,8.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
