規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.9,159,142.8,16.2,14,82.8,77.2,5.6
100～499人,19.4,162.4,147.7,14.7,15.4,103.6,99.5,4.1
100人以上,19.2,161,145.7,15.3,15,96.7,92.1,4.6
30～99人,19.4,161.2,148.3,12.9,15,89.8,86.6,3.2
５～29人,20.4,165.7,156,9.7,13.9,82.7,79.9,2.8
30人以上,19.3,161.1,146.6,14.5,15,93.4,89.5,3.9
５人以上,19.6,162.4,149.2,13.2,14.4,87.8,84.4,3.4
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
