規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.7,172.7,155.2,17.5,15,86.4,80.7,5.7
100～499人,20.9,174.6,159.1,15.5,16.4,109,104.5,4.5
100人以上,20.8,173.9,157.5,16.4,15.9,101.7,96.8,4.9
30～99人,20.8,172.4,158.7,13.7,15.4,91.8,88,3.8
５～29人,21.2,172.7,162.5,10.2,14.3,83.4,80.6,2.8
30人以上,20.8,173.3,157.9,15.4,15.7,97.2,92.8,4.4
５人以上,20.9,173.2,159.2,14,15,89.9,86.3,3.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
