規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,161.3,144.4,16.9,14.3,84.7,78.8,5.9
100～499人,19.4,163,147.4,15.6,15.8,106.2,101.7,4.5
100人以上,19.3,162.2,146.1,16.1,15.3,99.4,94.4,5
30～99人,19.7,162.8,149.7,13.1,15,91.3,88,3.3
５～29人,19.9,161.3,152,9.3,14.1,84.2,81.7,2.5
30人以上,19.5,162.5,147.4,15.1,15.2,95.6,91.4,4.2
５人以上,19.6,162.1,148.6,13.5,14.6,89.5,86.2,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
