規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.9,159.1,141.8,17.3,14.2,81.9,76.5,5.4
100～499人,19.4,162.5,146.9,15.6,15.5,103,99.1,3.9
100人以上,19.2,161.1,144.8,16.3,15,95.9,91.5,4.4
30～99人,19.4,161.9,148.6,13.3,14.9,88.8,85.7,3.1
５～29人,20.7,167.7,157.6,10.1,13.8,82.8,80,2.8
30人以上,19.3,161.3,146.1,15.2,15,92.6,88.8,3.8
５人以上,19.6,163,149.2,13.8,14.3,87.4,84.1,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
