産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.42,1.9,1.19,1.54
鉱業,1.39,0.67,1.39,0.67
建設業,1,1.25,0.64,1.02
製造業,1.03,1.02,0.92,0.96
電気・ガス・熱供給・水道業,0.32,1.6,0.35,1.74
情報通信業,0.64,1.29,0.6,1.23
運輸業,1.19,1.69,1.1,1.5
卸売・小売業,1.44,1.95,1.07,1.46
金融・保険業,0.95,1.48,0.88,1.24
不動産業,1.01,1.89,0.99,1.24
"飲食店,宿泊業",2.79,4.05,3.29,3.38
"医療,福祉",1.94,2.19,1.71,1.62
"教育,学習支援業",1.18,1.98,0.63,0.97
複合サービス事業,0.78,1.08,0.58,0.79
サービス業（他に分類されないもの）,1.84,2.15,1.73,2.19
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年８月分,,,,
第４表  産業別労働異動率,,,,
