規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,6642593,4162410,2480183,104763,47743,57020,90560,47900,42660,6656796,4162253,2494543,20.3,10.5,36.7
５人以上,鉱業,2156,1785,371,17,17,0,8,6,2,2165,1796,369,1.8,0.1,9.8
５人以上,建設業,355817,298088,57729,2787,2629,158,1846,1651,195,356758,299066,57692,4,1.8,15.4
５人以上,製造業,722629,531392,191237,4644,3000,1644,5274,3574,1700,721999,530818,191181,9.2,2.9,26.7
５人以上,電気・ガス・熱供給・水道業,43619,36250,7369,49,32,17,86,86,0,43582,36196,7386,6.5,5.1,13.7
５人以上,情報通信業,619114,481299,137815,4445,3086,1359,5039,2835,2204,618520,481550,136970,5.5,1.9,18.1
５人以上,運輸業,322552,278135,44417,6026,5147,879,4124,3418,706,324454,279864,44590,11.2,8,31.2
５人以上,卸売・小売業,1484215,878880,605335,23006,10264,12742,21413,8902,12511,1485808,880242,605566,26.8,12.5,47.5
５人以上,金融・保険業,404383,227218,177165,3855,2098,1757,3570,1859,1711,404668,227457,177211,6.6,1.5,13.2
５人以上,不動産業,113190,77606,35584,1638,1415,223,2019,1382,637,112809,77639,35170,13.1,6.5,27.6
５人以上,"飲食店,宿泊業",498684,248880,249804,19163,7951,11212,18506,11471,7035,499341,245360,253981,63.3,48.1,78
５人以上,"医療,福祉",416577,93125,323452,4861,1217,3644,5484,1103,4381,415954,93239,322715,29.5,20.7,32.1
５人以上,"教育,学習支援業",356129,196794,159335,2424,1131,1293,3667,2023,1644,354886,195902,158984,24.3,20.4,29.1
５人以上,複合サービス事業,54694,39000,15694,226,152,74,25,0,25,54895,39152,15743,19.6,10.8,41.5
５人以上,サービス業（他に分類されないもの）,1248834,773958,474876,31622,9604,22018,19499,9590,9909,1260957,773972,486985,17.8,10.7,29.2
30人以上,調査産業計,4494746,2986272,1508474,63019,27698,35321,48816,24980,23836,4508949,2988990,1519959,14.3,7,28.5
30人以上,鉱業,2156,1785,371,17,17,0,8,6,2,2165,1796,369,1.8,0.1,9.8
30人以上,建設業,214577,187289,27288,1262,1104,158,1255,1060,195,214584,187333,27251,2.8,1.4,12.4
30人以上,製造業,515429,395009,120420,3410,2442,968,3372,2238,1134,515467,395213,120254,5.7,1.8,18.8
30人以上,電気・ガス・熱供給・水道業,40730,33586,7144,49,32,17,86,86,0,40693,33532,7161,6.7,5.5,12.6
30人以上,情報通信業,521924,412736,109188,2882,2297,585,3482,1803,1679,521324,413230,108094,5.2,1.7,18.5
30人以上,運輸業,255126,223633,31493,4734,4136,598,3614,2935,679,256246,224834,31412,10.2,8.1,25.2
30人以上,卸売・小売業,873925,551586,322339,8576,4029,4547,9824,4053,5771,872677,551562,321115,18.5,6.3,39.3
30人以上,金融・保険業,334362,193302,141060,3356,2009,1347,3473,1859,1614,334245,193452,140793,6.2,1.6,12.6
30人以上,不動産業,66066,47015,19051,688,465,223,899,637,262,65855,46843,19012,10.8,6.3,21.9
30人以上,"飲食店,宿泊業",187952,109676,78276,6604,2212,4392,3635,1932,1703,190921,109956,80965,49.7,33.9,71.2
30人以上,"医療,福祉",265842,62760,203082,2656,1138,1518,3362,673,2689,265136,63225,201911,21.9,18,23.1
30人以上,"教育,学習支援業",268810,160535,108275,1032,399,633,3241,1597,1644,266601,159337,107264,18.1,15,22.7
30人以上,複合サービス事業,38730,32019,6711,165,152,13,25,0,25,38870,32171,6699,18.6,12.9,46.3
30人以上,サービス業（他に分類されないもの）,909117,575341,333776,27588,7266,20322,12540,6101,6439,924165,576506,347659,16.7,9.5,28.5
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
