事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業／入職率(％),鉱業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業／入職率(％),運輸業／離職率(％),卸売・小売業／入職率(％),卸売・小売業／離職率(％),金融・保険業／入職率(％),金融・保険業／離職率(％),不動産業／入職率(％),不動産業／離職率(％),飲食店・宿泊業／入職率(％),飲食店・宿泊業／離職率(％),医療・福祉／入職率(％),医療・福祉／離職率(％),教育・学習支援業／入職率(％),教育・学習支援業／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
30人以上,平成17,2005,年平均,r2.01,r1.96,r2.00,r2.09,r1.25,r1.21,r1.47,r1.64,r1.64,r0.95,r2.69,r2.20,r1.46,r1.53,r1.81,r1.69,r2.03,r2.09,r1.98,r1.99,r3.16,r3.68,r1.89,r1.91,r2.22,r2.38,r2.36,r1.89,r2.25,r2.10
30人以上,平成18,2006,年平均,r2.08,r1.95,r1.84,r1.76,r1.42,r1.36,r1.47,r1.48,r0.86,r0.93,r2.02,r1.95,r1.64,r1.68,r2.15,r1.73,r2.30,r1.93,r1.79,r1.94,r3.72,r3.89,r2.03,r2.09,r2.27,r2.34,r2.77,r2.41,r2.33,r2.15
30人以上,平成19,2007,年平均,2.09,1.95,1.44,1.71,1.47,1.45,1.37,1.29,1.83,1.84,1.57,1.38,1.86,1.84,1.83,1.85,2.56,2.01,2.37,2.08,3.9,3.73,2.42,2.34,2.11,1.83,1.74,2.37,2.68,2.43
30人以上,平成20,2008,年平均,2.06,1.82,1.52,1.17,1.48,1.25,1.27,1.24,2.53,1.57,1.55,1.24,1.82,1.86,2.11,1.67,1.97,1.9,2.05,2.17,4.06,3.27,2.32,2.12,2.38,2.07,0.95,1.18,2.49,2.29
30人以上,平成20,2008,1月,1.26,1.43,1.3,0.96,0.57,0.68,0.84,1.01,0.56,0.78,1.18,1.03,1.38,1.27,0.99,1.41,1.03,1.31,1.26,1.62,3.2,1.7,1.91,2.43,0.67,0.41,0.32,0.25,1.67,2.2
30人以上,平成20,2008,2月,1.49,1.73,1.2,1.2,0.77,0.65,0.74,0.74,0.1,0.36,1.08,1.1,1.43,1.23,1.4,2.16,2.14,1.92,1.23,1.61,2.64,3.92,1.81,1.46,0.41,2.78,3.1,3.7,2.18,1.91
30人以上,平成20,2008,3月,1.77,1.8,0.82,1.58,0.71,1.11,1.12,1.1,0.44,0.2,1.49,1.18,1.89,1.89,2.16,1.78,2.51,2.22,1.26,1.88,2.84,3.25,1.95,2.93,0.49,2.08,0.49,2.44,2.11,1.91
30人以上,平成20,2008,4月,6.85,4.16,4.21,3,8.89,4.11,4.88,2.28,6.89,5.32,7.31,2.37,3.8,3.04,4.47,2.7,7.26,5.18,9.74,5.87,5.92,6.73,9.24,6.08,15.95,8.04,3.27,2.97,7.07,5.32
30人以上,平成20,2008,5月,1.79,1.94,0.57,1,0.85,1.97,1.05,1.3,0.35,1.32,0.79,1.03,1.83,3.58,1.68,1.54,2.22,1.56,1.67,2.88,5.26,2.91,2.06,2.26,2.08,1.22,0.32,0.19,2.28,2.82
30人以上,平成20,2008,6月,1.56,1.73,0.38,0.58,1.26,1.03,0.94,1.3,0.2,3.46,0.79,2.07,2.31,1.83,1.84,1.4,0.75,2.11,1.27,1.98,4.24,3.32,1.98,1.67,0.8,0.69,0.29,0.61,2,2.04
30人以上,平成20,2008,7月,1.79,1.73,1.68,1.2,1.18,0.89,1.3,1.23,3.51,4.25,0.94,1.14,1.79,1.94,1.99,1.86,1.67,1.94,1.89,2.04,4.34,4.03,1.83,1.4,0.73,0.58,0.68,0.36,2.34,2.2
30人以上,平成20,2008,8月,1.19,1.54,1.39,0.67,0.64,1.02,0.92,0.96,0.35,1.74,0.6,1.23,1.1,1.5,1.07,1.46,0.88,1.24,0.99,1.24,3.29,3.38,1.71,1.62,0.63,0.97,0.58,0.79,1.73,2.19
30人以上,平成20,2008,9月,1.96,1.52,3.19,1.14,0.88,0.77,0.69,1.49,7.58,0.29,1.01,0.98,1.53,1.33,4.28,1.41,1.25,1.54,1.42,1.21,3.46,3.08,1.44,1.46,0.92,2.44,0.86,1.68,1.79,1.66
30人以上,平成20,2008,10月,2,1.87,2.24,1.77,1.04,1.32,1.42,1.81,0.47,0.71,2.19,1.2,1.68,2.09,1.66,1.82,1.93,1.95,1.9,2.74,3.22,3.17,1.57,1.73,4.73,2.43,0.66,0.65,2.11,2
30人以上,平成20,2008,11月,1.65,1.31,0.51,0.51,0.43,0.92,0.67,1.05,9.83,0.24,0.66,0.83,1.22,1.2,2.74,1.4,1.02,0.76,0.88,1.62,6.81,1.78,1.3,1.09,0.75,1.96,0.39,0.44,1.51,1.79
30人以上,平成20,2008,12月,1.4,1.09,0.79,0.37,0.59,0.58,0.66,0.65,0.12,0.21,0.55,0.67,1.86,1.42,0.98,1.12,1,1.04,1.04,1.36,3.51,1.93,1,1.26,0.38,1.21,0.43,0.06,3.03,1.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成20年確報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第１２－２表　産業別労働異動率　 （事業所規模３０人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位：%) 平成19年から小数点以下第2位まで表示,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
