規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.7,17.9,17.3,145.7,150.7,135.2,130.3,133.8,123,15.4,16.9,12.2
100～499人,17.8,18.1,17.1,146.1,152.5,133.2,132.8,137.8,122.6,13.3,14.7,10.6
100人以上,17.7,18,17.1,146,151.8,133.9,131.8,136.2,122.7,14.2,15.6,11.2
30～99人,17.5,17.9,16.7,139.4,148.7,122.2,128.2,135.2,115.3,11.2,13.5,6.9
５～29人,16.4,17.3,15.3,123.8,138.1,105.9,116.8,128.9,101.7,7,9.2,4.2
30人以上,17.6,18,17,143.6,150.7,129.5,130.5,135.8,119.9,13.1,14.9,9.6
５人以上,17.2,17.8,16.3,137.1,147,120.3,126,133.8,112.8,11.1,13.2,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
