規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.9,19.2,18.4,155.7,161.5,143.5,138.5,142.6,130,17.2,18.9,13.5
100～499人,19.1,19.5,18.3,158.2,165.5,143.7,143.2,148.7,132.2,15,16.8,11.5
100人以上,19,19.4,18.3,157.2,163.9,143.6,141.3,146.2,131.3,15.9,17.7,12.3
30～99人,19,19.6,17.9,152.2,162.6,132.6,139.9,147.9,124.8,12.3,14.7,7.8
５～29人,18.3,19.4,16.9,139.2,156.3,117.9,131.1,145.4,113.3,8.1,10.9,4.6
30人以上,19,19.5,18.2,155.4,163.4,139.5,140.8,146.8,128.9,14.6,16.6,10.6
５人以上,18.8,19.4,17.7,150.1,161.4,131.1,137.6,146.4,122.8,12.5,15,8.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
