規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.8,19,18.5,154.3,158.8,144.7,138.4,141.5,131.9,15.9,17.3,12.8
100～499人,18.9,19.2,18.2,155.4,162.1,142.1,141.3,146.5,130.9,14.1,15.6,11.2
100人以上,18.9,19.1,18.3,154.9,160.8,143.1,140.1,144.5,131.3,14.8,16.3,11.8
30～99人,18.9,19.4,17.9,150.4,159.5,133,139,146,125.6,11.4,13.5,7.4
５～29人,18,19,16.8,136.1,151.4,117.3,129,142,113,7.1,9.4,4.3
30人以上,18.9,19.2,18.2,153.3,160.3,139.4,139.7,145,129.2,13.6,15.3,10.2
５人以上,18.6,19.2,17.6,147.7,157.8,130.8,136.2,144.2,122.9,11.5,13.6,7.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
