規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,495068,464213,421410,42803,30855,117199,114048,106708,7340,3151
100～499人,478936,419855,385432,34423,59081,136144,134364,125482,8882,1780
100人以上,485617,438225,400332,37893,47392,129816,127578,119211,8367,2238
30～99人,474661,406893,382988,23905,67768,114108,110041,105759,4282,4067
５～29人,364385,345786,329260,16526,18599,91468,90913,88221,2692,555
30人以上,481845,427437,394360,33077,54408,122400,119299,112861,6438,3101
５人以上,449736,405117,376564,28553,44619,105752,104021,99599,4422,1731
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年３月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
