事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／対前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／対前年支給月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／対前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／対前年支給月数差(か月)
30人以上,TL 調査産業計,692729,-0.4,88.4,92.2,1.46,-0.01,707559,0.6,89.6,92.2,1.54,0
30人以上,D 鉱業,1502276,11,100,100,2.69,-0.27,1279270,-0.7,100,100,2.37,-0.62
30人以上,E 建設業,586185,-2.3,93.4,95.3,1.26,-0.06,614952,-0.9,88.5,94.2,1.5,0.15
30人以上,F 製造業,883648,0.9,90.6,94.9,1.54,0.05,854379,-4.2,91.3,95.8,1.5,-0.08
30人以上,G 電気・ガス・熱供給・水道業,985535,-2.8,100,100,2.15,0.03,1109855,5.5,100,100,2.23,0
30人以上,H 情報通信業,720167,-5.8,77.3,90.3,1.55,-0.12,731380,11.1,75.4,87.4,1.8,0.17
30人以上,I 運輸業,514229,3.3,94.6,96.5,1.37,0.05,552689,4.5,94.2,95.5,1.46,0.08
30人以上,J 卸売・小売業,668742,4.8,90.7,90.2,1.31,-0.01,625666,-6.9,90.2,87.9,1.33,0.03
30人以上,K 金融・保険業,1059152,-9.6,92.5,93.5,2.23,-0.12,1122293,8.5,93.4,94.3,2.36,0.14
30人以上,L 不動産業,653428,-3.5,88.3,91.6,1.64,-0.06,658323,-1.9,89.6,90.9,1.73,-0.07
30人以上,"M 飲食店,宿泊業",267584,24.8,84.1,91.3,0.54,0.1,348595,41.9,90.1,94.1,0.55,0.04
30人以上,"N 医療,福祉",545223,-0.1,90.7,97.1,1.77,-0.01,603780,-6,100,100,1.78,-0.18
30人以上,"O 教育,学習支援業",842326,5.6,86.2,94.1,2.11,0.02,1005685,5.8,86.4,94.8,2.39,-0.07
30人以上,P 複合サービス事業,627396,29.4,100,100,1.78,0.19,655196,-33,100,100,1.99,0
30人以上,Q サービス業（他に分類されないもの）,585919,-2.1,86.6,88.7,1.37,-0.04,608138,-1.1,88.8,91.2,1.48,-0.04
30人以上,"F09,10 食料品・たばこ",517180,-6,99.5,98,1.33,-0.11,572771,0.7,99.5,98.6,1.58,0.03
30人以上,F11 繊維,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F12 衣類,405320,-3.8,88.1,83.8,0.92,-0.07,294061,-30.1,100,100,0.86,-0.04
30人以上,F13 木材,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F14 家具,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,F15 パルプ・紙,772474,2,100,100,1.67,0.01,845665,-2.4,100,100,1.86,-0.24
