規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,450203,513699,318480,431427,492939,303821,392061,39366,18776,20760,14659
100～499人,397136,461339,271220,382550,442628,264724,350319,32231,14586,18711,6496
100人以上,418702,482852,289999,402413,463299,280259,367282,35131,16289,19553,9740
30～99人,382327,451881,252550,354885,415798,241231,334380,20505,27442,36083,11319
５～29人,271014,342907,181807,263468,331849,178618,251837,11631,7546,11058,3189
30人以上,405533,471817,276025,385207,446374,265696,355371,29836,20326,25443,10329
５人以上,361821,434790,239449,345648,413479,231892,321728,23920,16173,21311,7557
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
