規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,475985,546357,324749,430412,492425,297141,390458,39954,45573,53932,27608
100～499人,400261,469843,263528,375678,437571,254054,345624,30054,24583,32272,9474
100人以上,431031,501477,287521,397919,460250,270940,363842,34077,33112,41227,16581
30～99人,396540,470309,257747,347938,408009,234917,328131,19807,48602,62300,22830
５～29人,265121,333599,182924,256036,321358,177627,244944,11092,9085,12241,5297
30人以上,418279,490147,276145,379439,441260,257176,350638,28801,38840,48887,18969
５人以上,368717,445987,239510,339506,407437,225914,316436,23070,29211,38550,13596
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
