規模,和暦年,西暦年,年平均・月・対前年同月比,調査産業計,調査産業計／対前年比・対前年同月比（％）,鉱業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業,卸売・小売業,金融・保険業,不動産業,飲食店，宿泊業,医療，福祉,教育，学習支援業,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成15,2003,年平均,96.6,－,108.2,95.4,105,86.6,－,－,－,－,－,－,－,－,－,－
５人以上,平成16,2004,年平均,98.3,1.8,106,96.3,105.6,104.8,－,－,－,－,－,－,－,－,－,－
５人以上,平成17,2005,年平均,100,1.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成18,2006,年平均,99.5,-0.5,101.3,98.3,99.1,99.5,99.1,99.8,102,96.9,107.7,92.6,102.9,100.4,100.6,96.7
５人以上,平成19,2007,年平均,100,0.5,101.8,98.5,97.8,98.1,100.9,100.6,102.6,97.7,107.5,90.5,107.5,98,99.2,97.9
５人以上,平成19,2007,4月,101.6,0.1,93.5,99.9,98.6,99.5,102.1,104.2,103.7,101.2,109.7,93.1,110.9,101.8,95.2,97.9
５人以上,平成19,2007,5月,99.3,0.3,103.9,97.5,96.4,97.1,99.1,97.5,101.6,97.6,108.7,93.3,109.4,98.9,93.2,96.6
５人以上,平成19,2007,6月,100.3,0.9,101.9,98.7,98.1,97.2,100.7,99.2,102.8,98.2,108.2,90.8,109.3,98.2,97.4,98.1
５人以上,平成19,2007,7月,99.7,-0.1,100.9,97.7,97.9,97.9,100.8,100.4,102.8,97.9,105.6,89.2,105.2,94.8,92.8,98.5
５人以上,平成19,2007,8月,99.3,0.6,100.7,97.9,97.3,96.7,100.8,99.7,103.3,97.9,104.9,88.4,104.8,93.8,95.3,97.5
５人以上,平成19,2007,9月,99.2,0.2,102.7,97.7,97.4,96.8,102.3,98.9,102.1,96.4,105.5,87.4,105.4,95.5,91.3,97.7
５人以上,平成19,2007,10月,99.8,0.3,103.2,97.7,97.4,98,101.3,98.9,103.8,96.2,107.6,88.3,106.1,96.9,111.9,97.9
