規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,152.6,136.2,16.4,13.5,80.9,74.8,6.1
100～499人,18.2,152.8,138.2,14.6,15.1,102.5,97.5,5
100人以上,18.1,152.7,137.4,15.3,14.6,95.3,90,5.3
30～99人,18.1,151.4,138.5,12.9,14.6,86.4,82.9,3.5
５～29人,18.1,146.2,136.9,9.3,13.1,79.1,76.8,2.3
30人以上,18.1,152.2,137.7,14.5,14.6,91.2,86.7,4.5
５人以上,18.1,150.6,137.5,13.1,13.8,84.7,81.4,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
