規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,502838,587681,325221,423406,487117,290029,388192,35214,79432,100564,35192
100～499人,393958,458187,264055,376833,436221,256720,348919,27914,17125,21966,7335
100人以上,438014,510936,288464,395678,456953,270012,364811,30867,42336,53983,18452
30～99人,352405,417165,232214,346169,409717,228227,326840,19329,6236,7448,3987
５～29人,269302,341178,178736,259637,328583,172764,249521,10116,9665,12595,5972
30人以上,406965,477658,267197,377722,440190,254214,351039,26683,29243,37468,12983
５人以上,361849,438022,232603,339022,407778,222362,317769,21253,22827,30244,10241
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
