規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1239296,459045,418638,40407,780251,134260,117045,110447,6598,17215
100～499人,891138,410772,378755,32017,480366,147158,132547,124955,7592,14611
100人以上,1036953,430989,395458,35531,605964,142978,127523,120253,7270,15455
30～99人,828229,401779,380397,21382,426450,128441,111766,107541,4225,16675
５～29人,494720,342990,328107,14883,151730,97715,95063,92560,2503,2652
30人以上,964280,420819,390214,30605,543461,136312,120298,114424,5874,16014
５人以上,836475,399635,373309,26326,436840,115690,106815,102742,4073,8875
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年６月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
