規模,産業,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,調査産業計,792544,972541,491338,339445,407096,226238,317001,22444,453099,565445,265100
５人以上,鉱業,1662400,1805510,969862,483285,520023,305500,451832,31453,1179115,1285487,664362
５人以上,建設業,784886,842277,487959,387973,415836,243816,359012,28961,396913,426441,244143
５人以上,製造業,954685,1102265,544766,378545,430079,235404,357003,21542,576140,672186,309362
５人以上,電気・ガス・熱供給・水道業,1536955,1627093,1094380,476510,503503,343976,436062,40448,1060445,1123590,750404
５人以上,情報通信業,893148,972988,613390,389128,420475,279291,352444,36684,504020,552513,334099
５人以上,運輸業,807405,858985,484037,356086,375585,233841,304627,51459,451319,483400,250196
５人以上,卸売・小売業,688635,905815,373128,321549,404771,200648,308445,13104,367086,501044,172480
５人以上,金融・保険業,1214625,1629714,682052,456040,590004,284159,425938,30102,758585,1039710,397893
５人以上,不動産業,803301,942970,496844,348535,401968,231294,331458,17077,454766,541002,265550
５人以上,"飲食店,宿泊業",311715,465826,160525,168594,231999,106391,158716,9878,143121,233827,54134
５人以上,"医療,福祉",696205,925073,630197,298626,427085,261577,281570,17056,397579,497988,368620
５人以上,"教育,学習支援業",1112595,1361446,805598,351948,410909,279210,333662,18286,760647,950537,526388
５人以上,複合サービス事業,1013414,1173383,615731,369319,421670,239174,339273,30046,644095,751713,376557
５人以上,サービス業（他に分類されないもの）,729367,886338,476753,328768,387445,234339,306101,22667,400599,498893,242414
30人以上,調査産業計,947560,1120438,606464,379246,440636,258121,351413,27833,568314,679802,348343
30人以上,鉱業,1662400,1805510,969862,483285,520023,305500,451832,31453,1179115,1285487,664362
30人以上,建設業,934804,983351,601341,409849,433084,250250,374651,35198,524955,550267,351091
30人以上,製造業,1136390,1273437,686414,414295,459570,265640,388323,25972,722095,813867,420774
30人以上,電気・ガス・熱供給・水道業,1599224,1700952,1121924,488790,518489,349445,446206,42584,1110434,1182463,772479
30人以上,情報通信業,970519,1046226,682732,401463,431229,288314,360346,41117,569056,614997,394418
30人以上,運輸業,820156,855338,569342,360261,374548,258408,308604,51657,459895,480790,310934
30人以上,卸売・小売業,864238,1098989,461777,373004,456669,229567,355873,17131,491234,642320,232210
30人以上,金融・保険業,1301642,1721008,726194,481699,616013,297395,450568,31131,819943,1104995,428799
30人以上,不動産業,959483,1107803,593745,373872,426681,243651,349666,24206,585611,681122,350094
30人以上,"飲食店,宿泊業",532675,730605,259682,248213,322589,145630,233295,14918,284462,408016,114052
30人以上,"医療,福祉",851418,1080119,780273,334559,451097,298306,311856,22703,516859,629022,481967
30人以上,"教育,学習支援業",1314127,1541949,976026,397474,448789,321320,374327,23147,916653,1093160,654706
30人以上,複合サービス事業,1056686,1155005,586060,394209,426303,240582,359778,34431,662477,728702,345478
30人以上,サービス業（他に分類されないもの）,787513,960216,495590,342952,404592,238760,316164,26788,444561,555624,256830
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２０年１２月分,,,,,,,,,,,,
第１表  産業、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,,
