町村名,島名,原因別建物全壊棟数計,原因別建物全壊棟数揺れ,原因別建物全壊棟数液状化,原因別建物全壊棟数急傾斜地崩壊等,原因別建物全壊棟数津波,原因別建物半壊棟数計,原因別建物半壊棟数揺れ,原因別建物半壊棟数液状化,原因別建物半壊棟数急傾斜地崩壊等,原因別建物半壊棟数津波
大島町,,37,0,0,31,6,142,65,0,41,36
利島村,,26,0,0,24,2,33,1,0,32,0
新島村,新島,739,0,0,22,717,200,5,0,20,175
新島村,式根島,16,0,0,2,14,13,2,0,3,8
神津島村,,224,0,0,42,182,75,8,0,49,18
三宅村,,87,0,0,1,86,29,0,0,1,28
御蔵島村,,0,0,0,0,0,0,0,0,0,0
八丈町,,24,0,0,0,24,35,0,0,0,35
青ケ島村,,0,0,0,0,0,0,0,0,0,0
小笠原村,父島,127,0,0,0,127,69,0,0,0,69
小笠原村,母島,2,0,0,0,2,11,0,0,0,11
島しょ部計,,1282,0,0,122,1160,607,81,0,146,380
