事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
その他,,,,,,575,,238
調査研究の推進,,,,,,575,,238
69,１０－５５,地域危険度測定調査,都市整備局,東京都震災対策条例（東京都条例第２０２号）第１２条に基づき、昭和５０年に第１回を公表して以来、おおむね５年ごとに地震に対する地域の危険度を科学的に測定し、公表する。,・測定項目及び測定方法の確定／・各種データの収集、精査、反映、検証／・各危険度の測定、測定結果の検証、確認／・公表方法の決定,30,・測定結果のまとめ、報告書の作成／・市区町等への説明／・調査結果の公表／・次期測定調査に向けての調査方針等の検討／・次期測定調査の基礎的データの収集、整理、確認,58
70,１０－５６,公共建築物等に対する液状化対策,建設局,地盤の液状化の判定に当たっては、「東京低地の液状化予測（昭和６２年４月）」での判定結果や、昭和６１年より開発・運用している地盤情報システム内に集められた地形、地質等に関する情報を適宜活用していく。,・ｗｅｂサーバー保守等,15,・ｗｅｂサーバー保守等,15
71,１０－５７,液状化予測図の修正,建設局,液状化の予測については、１９８６年度及び１９９６年度に「東京の液状化予測図」を作成し、東京港埋立地盤では１９９０年度に作成しているが、東日本大震災による影響を踏まえ、検討委員会などにおいて検証を経た上で、１１～１２年度で液状化予測図の修正を行い、公開した。,・年間保守委託,5,・年間保守委託,5
72,１０－５８,強震計の設置による橋りょう・河川施設の地震動の調査,建設局,主要な道路橋梁や東部低地帯における堤防、水門など河川施設と周辺地盤に設置している強震計等の観測で得られた地震波形を利用して地盤と構造物の地震動特性の解析を行う。,・強震計データの回収及び保守点検,8,・強震計データの回収及び保守点検,8
73,１０－５９,東京港内における地震動の調査研究,港湾局,東京港内埋立地盤における地震波形の長期継続観測を実施することで、港湾施設の安全性向上に寄与する。,・東京港内の地震観測を継続して実施／・通信装置１００％設置完了,14,・東京港内の地震観測を継続して実施,8
74,１０－６０,官民連携インフラファンド,会計管理局,官民連携インフラファンドを創設し、社会資本投資における長期的かつ安定的な資金循環システムの構築に道筋をつけるとともに、電力安定供給と新電力の育成に貢献する。,・ファンドの運営監視,450,・ファンドの運営監視,93
75,１０－６１,被害想定調査研究,総務局,都や区市町村の防災対策を推進するため、首都直下地震等（東京湾北部地震、多摩直下地震、元禄型関東地震及び立川断層帯地震）及び南海トラフ巨大地震について、客観的なデータや科学的な裏付けに基づく被害想定を策定する。,-,-,-,-
76,１０－６３,出火防止、危険物対策等に関する調査検証,東京消防庁,震災時等における出火防止対策に資するため、出火原因となる物品やその燃焼性状を科学的に把握するとともに、都民や事業所が使用する機器等について、火災等に起因する各種の事故を防止するため、その危険性について検証する。／また、震災時に発生が予想される危険物質等に関連する施設等の災害や家屋倒壊等の災害から発生する有害物質への対応力の強化を目的とし、発生し得る有害物質等の性状や対応方策について調査検証を実施する。,主な検証／・長周期地震動に伴う室内安全に関する検証／・実大規模によるふとん火災の燃焼性状に関する検証,3,主な検証／・長周期地震動に伴う室内安全に関する検証／・短期検証,1
77,１０－６４,消防活動等に関する調査検証,東京消防庁,火災をはじめとする各種災害による被害の軽減と消防活動の安全化に資するため、火災性状、消防活動技術、消防活動用資器材等に関する調査検証を行う。／また、消防隊員の安全かつ効率的な活動に資するため、震災時の長時間かつ困難な消防活動に係る生理学的検証や災害心理の調査検証を行う。,主な検証／・火災シミュレーションの運用／・延焼する室内に対する効果的な放水方法に関する検証／・ボリュートポンプの性能及び耐久性の検証／・消防活動時における効果的な休息に関する検証／・装着型パワーアシストロボットの活用の有効性に関する検証,14,主な検証／・延焼する室内に対する効果的な放水方法に関する検証／・効果的な身体冷却に関する検証／・短期検証,14
78,１０－６５,震災による被害の軽減に関する調査研究,東京消防庁,震災対策を効果的に推進するため、各種危険度測定の実施による基礎データの収集や効果的な対策の在り方等に関する検討を行う。,・出火危険度測定は東京消防庁ＨＰで公表／・防火防災訓練手法の評価及び効果的な訓練指導、訓練参加促進要領に関する調査研究は火災予防審議会の議論として活用し答申,36,・大規模地震時の火災情報等の活用方策及び伝達手段に関する調査研究,36
