県名,機関名,電話,ＦＡＸ
埼玉県,川口市消防局,048-261-3119,048-261-5955
埼玉県,春日部市消防本部,048-738-3111,048-735-1536
埼玉県,草加市消防本部,048-924-2111,048-928-8338
埼玉県,戸田市消防本部,048-420-2119,048-442-0119
埼玉県,八潮市消防本部,048-996-0119,048-997-1300
埼玉県,三郷市消防本部,048-952-1211,048-952-1544
埼玉県,朝霞地区一部事務組合埼玉県南西部消防本部,048-460-0119,048-463-0493
埼玉県,秩父消防本部,0494-21-0119,0494-21-0124
埼玉県,吉川松伏消防組合消防本部,048-982-3931,048-981-7150
埼玉県,埼玉西部消防局,04-2924-0119,04-2929-9127
埼玉県,埼玉東部消防組合消防局,0480-21-0119,0480-23-1542
千葉県,市川市消防局,047-333-2111,047-335-8181
千葉県,松戸市消防局,047-363-1117,047-363-1140
千葉県,野田市消防本部,04-7124-0119,04-7125-8782
千葉県,流山市消防本部,04-7158-0151,04-7159-0889
千葉県,浦安市消防本部,047-304-0119,047-352-3597
神奈川県,横浜市消防局,045-332-1351,045-331-5221
神奈川県,川崎市消防局,044-223-1199,044-223-2654
神奈川県,相模原市消防局,042-751-9111,042-751-9284
神奈川県,大和市消防本部,046-261-1119,046-264-8327
山梨県,上野原市消防本部,0554-62-4111,0554-63-4119
山梨県,大月市消防本部,0554-30-0119,0554-23-0119
山梨県,東山梨行政事務組合東山梨消防本部,0553-32-0119,0553-32-3240
