事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
東京都、区市町村及び関係機関が有する映像や被災状況などの災害情報の共有化を図っていきます,,,,,,6415,,7534
2,（５－１７）,初動体制の充実・強化,総務局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
3,５－１,震災消防活動を支援する情報収集体制の充実強化,東京消防庁,震災による被害を軽減するため、地震発生直後から震度情報の収集、被害の予測、指揮、部隊運用の支援等の機能で構成された震災消防対策システムを運用しており、現行のシステム改修を図り、震災時における部隊運用支援の迅速化、効率化を図るため機能向上及び充実強化を行う。,・新機体での地震被害判読システムの運用を開始／・早期災害情報システムの機能向上のための設計・開発／・３次元防災地図の運用／・災害情報の共有化に向けた都及び区市等との調整・検討／・震災消防活動支援システムの運用・検証,57,・新機体での地震被害判読システムの運用・検証／・早期災害情報システムの機能向上のための設計・開発／・３次元防災地図の運用／・災害情報の共有化に向けた都及び区市等との調整・検討／・地震計の更新／・震災消防活動支援システムの運用・検証,167
4,５－２,緊急地震速報の活用,財務局,主な東京都の施設に緊急地震速報システムを導入し、エレベーターなどの自動制御による閉じ込め防止や来庁者への自動放送による安全確保など、効果的に活用する。,・緊急地震速報システムの効果的な活用,-,・緊急地震速報システムの効果的な活用,-
5,５－３,災害に備えた通信手段の強化,福祉保健局,災害時に電話、ファクシミリ等の通信手段が大きく低下することが想定されることから、外郭団体や協力機関との情報連絡において、業務用ＭＣＡ無線を配備することにより、重層的な連絡体制を構築する。,・公益社団法人東京都薬剤師会等との防災訓練やＭＣＡ無線訓練時に通信訓練等を実施,1,・継続して実施,1
6,５－４,災害に備えた通信手段の強化,警視庁,災害発生時に備え、被留置者用非常食料の整備及び衛星携帯電話導入により災害発生時の即応体制を確立する。,・衛星携帯電話１０台を増配／・災害用非常食を留置定員の３日分を常備,8,・衛星携帯電話１０台を増配／・災害用非常食を留置定員の３日分を常備,9
7,５－５,医療救護に関する情報連絡体制の整備と広域的な調整機能の強化,総務局東京消防庁,区市町村、東京消防庁、東京都医師会、東京都歯科医師会等関係機関との連携により、被害状況等を一元的に収集し、被災者や関係者に伝達する体制を確立する。また、東京都防災行政無線の整備、広域災害救急医療情報システム（ＥＭＩＳ）の活用により、発災直後からの医療救護活動に関する情報連絡体制を確保する。,・設計が完了した５か所の無線局整備を実施／・救急告示医療機関の変更が発生する度に配置調整,195,・（事業継続）／・救急告示医療機関の変更が発生する度に配置調整,165
8,５－６,通信指令システム機器更新,警視庁,震災、事件発生時における初動警察活動を的確に行うため、通信指令システム機器の充実強化を図る。,・通信指令システムの更新／・車載装置（二輪車）の更新,3184,・通信指令システムの更新／・車載装置（四輪車）の更新／・多摩大型表示装置装置更新,3329
9,５－７,画像伝送システムの整備,警視庁,各種災害の被災現場から災害警備本部にリアルタイムで映像を送信し、情報収集・集約機能の充実強化を図る。,・継続運用,34,・継続運用,34
10,５－８,衛星利用型情報収集システムの整備,警視庁,大震災等の大規模災害発生時の地上通信回線が途絶又はふくそう下において、衛星電話回線を利用した情報収集及び配信のためのシステムを構築する。,・継続運用,8,・継続運用,8
11,５－９,指揮所等の整備,警視庁,総合指揮所、多摩前進指揮所及び東京都庁警視庁連絡室にある各種情報収集システムを整備・拡充することにより、被災状況・部隊活動等を総合的に把握するほか情報の共有化を図り、迅速かつ的確な情報収集・集約及び部隊指揮、救出活動等の効果的な災害警備活動を確立する。,・Ｈ２９更新に向けた設計委託,61,・総合指揮所全面改修,392
12,５－１０,署活系無線機の整備,警視庁,大震災等発生時に迅速かつ的確な救出救助活動を広範囲に行う警察署員の情報連絡手段を確保し、通信指揮体制の強化を図るため、署活系無線機を増強整備する。,・６００台整備中（５６．１％）,162,・６００台整備予定（７０．７％）,162
13,５－１１,災害情報受信システムの整備,警視庁,気象庁から提供される地震、警報、注意報等の各種災害関連情報を災害対策課、災害関連警備指揮所及び各警察署で直接受信し、現場での災害警備活動に早期に反映することで、災害対応の初動体制を強化する。,・継続運用,53,・継続運用,53
14,５－１２,安否・被害確認システムの整備,警視庁,災害発生時における職員等の安否確認、参集途上の職員からの被害状況などの各種情報を収集・伝達することにより、効果的な職員参集とより詳細な被害実態把握に資するシステムを整備し、初動態勢の強化を図る。,・継続運用,12,・継続運用,12
15,５－１３,警察情報管理システムの運営,警視庁,運転免許管理業務端末に無停電電源装置を配備する。,・継続運用,-,・継続運用,-
