事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
発災時の情報不足による混乱を防ぎます,,,,,,258,,261
都民が必要とする災害情報の充実に向け、ホームページ、Ｔｗｉｔｔｅｒ、災害情報共有システム（Ｌアラート）、デジタルサイネージなど情報発信の多様化を進めていきます,,,,,,255,,258
26,（２－１）,都民一人ひとりの防災力強化,総務局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
27,５－２２,発災時の情報発信力の強化,総務局,発災時において都民や通勤者、外国人等の都内にいる人々に対して、必要な情報を的確かつ迅速に発信できる体制を構築する。,被災者の行動特性・情報ニーズや都内区市町村の災害時の情報発信について調査分析するとともに、災害時の情報発信のあるべき姿を検討した。,20,・２８年度の調査分析結果を踏まえ、東京都の災害時の情報発信に係るタイムライン検討／・各種ＩＣＴを用いた情報発信に係る実証実験などを実施する。,33
28,５－２３,都政広報,生活文化局,平常時には、多様な媒体を利用し、防災情報の提供を通じて都民の防災力向上を図る。／災害発生時には、各広報媒体を活用し、災害対策本部の発する情報を基に広報活動を実施する。また、写真等による情報の取集及び記録を行う。,【平常時の取組】／・広報紙・テレビ・ラジオ・ホームページ等における防災情報の提供／・防災に関する動画をインターネット配信し、情報提供を実施／・防災ツイッターをはじめとする防災関連情報を、都庁広報ツイッターにより幅広く発信／※外国人向け／・提供ラジオ番組「ＴＯＫＹＯCityInformation」（InterＦＭ８９７）等において、在住外国人を対象に、英語で防災情報を提供／・海外向けに、防災に関する動画を配信,-,【平常時の取組】／・広報紙・テレビ・ラジオ・ホームページ等における防災情報の提供／・防災に関する動画をインターネット配信し、情報提供を実施／・防災ツイッターをはじめとする防災関連情報を、都庁広報ツイッターにより幅広く発信／※外国人向け・提供ラジオ番組「ＴＯＫＹＯCityInformation」（InteｒＦＭ８９７）等において、在住外国人を対象に、英語で防災情報を提供／・海外向けに、防災に関する動画を配信,-
29,５－２４,都民の声事業,生活文化局,平常時には、都民情報ルームで都発行の防災関連の書籍等を有料販売刊行物を閲覧・貸出及び販売を実施する。災害発生時には、常設の都民相談窓口に併設して、被災者臨時相談窓口を開設し、被災者等からの電話相談業務を行える体制を整備する。また、復興対策の本格化に応じて、関係各局との連携・協力により被災者総合相談所を第二本庁舎１階に開設し、被災者からの電話・来訪相談業務を行える体制を整備する。,【平常時の取組】／・都民情報ルームで都発行の防災関連の刊行物を閲覧・貸出及び販売の実施／・都庁公式ＨＰに震災時相談の案内を掲載／【災害発生時の取組】／・被災者臨時相談窓口を開設し、被災者の生活に関する相談、要望、苦情等に対応できる体制を整備／・復興時（発災から概ね１か月後）に、被災者総合相談所を第二本庁舎１階に開設し、被災者からの電話・来訪相談に対応をできる体制を整備／・被災者臨時相談窓口における外国人からの問合せ対応できる体制を整備,-,【平常時の取組】／・都民情報ルームで都発行の防災関連の刊行物を閲覧・貸出及び販売の実施／・都庁公式ＨＰに震災時相談の案内を掲載／【災害発生時の取組】／・被災者臨時相談窓口を開設し、被災者の生活に関する相談、要望、苦情等に対応できる体制を整備／・復興時（発災から概ね１か月後）に、被災者総合相談所を第二本庁舎１階に開設し、被災者からの電話・来訪相談に対応をできる体制を整備／・被災者臨時相談窓口における外国人からの問合せ対応できる体制を整備,-
30,（５－３０）,河川の魅力発信・プロモーションの充実,建設局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
31,５－２５,ふ頭内における緊急放送設備の導入（補助制度の創設）,港湾局,関係区を対象としたふ頭内への緊急放送設備に係る補助制度の活用により、緊急情報の聴取困難エリアの解消を図る。,・下記地区に緊急放送設備を整備／・江東区：３地区４基（青海、１０号地その２、辰巳）,26,・引き続き、関係区と調整の上、緊急放送設備の整備促進を図る。,38
32,５－２６,デジタルサイネージ等による政策広報の展開,東京消防庁,消防署等の消防関連施設にデジタルサイネージの整備を行うとともに、ネットワーク化を早期に実施し、一斉に、都民や外国人旅行者に必要な情報を迅速かつ広範囲に提供する体制を整備する。／また、都民の防災意識の向上と防災知識の普及のため、平常時からの防災に関する知識や災害時の情報について、広報媒体を活用した広報活動の充実を図るとともに、発災時の混乱を避けるため、新たな情報提供ツールを活用し、情報発信の多様化を図って行く。,・管内特性が異なる都内３つの消防署において、コンテンツの検証を主とした試行運用を１７年１月から実施／・全てのコンテンツが多言語（４言語５種類）での切り替え表示可能／・ＨＰ・ツイッター・フェイスブックを用いた情報発信／・広報用プロモーションビデオの配信／・火災予防運動等の防火防災思想普及関連行事に合わせたポスター等の掲出,209,・デジタルサイネージの利用者層の分析、タッチパネル操作によるアクセスログの分析を行い、今後の設置優先順位を検証／・都民に対する情報発信のほか、東京都内を訪れる外国人旅行者等に対する広報用プロモーションビデオやリーフレット等を制作,187
33,（４－２）,要配慮者（高齢者・障害者等）を住宅火災等から守るための取組の推進,東京消防庁,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
35,５－３４,消防行政に関する情報発信・情報提供の強化,東京消防庁,都民の防災に関する意識の啓発や消防活動への理解の促進、今後の消防行政への反映を目的に消防活動時の映像等を記録するとともに、各種災害情報等を収集し、都民へ提供する。,以下の内容について検討／・情報通信機器等の整備／・災害現場における情報収集体制等の整備／・都民等に対する情報提供体制の整備,-,以下の内容について検討／・情報通信機器等の整備／・災害現場における情報収集体制等の整備／・都民等に対する情報提供体制の整備,-
