区分１,区分２,区分３,区分４,区分５,鶴見川,境川,残堀川,新河岸川,中川・綾瀬川
整備計画策定年月日,,,,,平成19年3月14日,昭和56年5月13日,昭和57年8月25日,平成17年3月31日,平成12年7月12日
目標年次（年度）,,,,,49,12,おおむね１０か年,おおむね１０か年,おおむね１０か年
現況の市街化率（％）,,,,,85,68,57,49,43
現況の市街化率（年）,,,,,平成15,平成2,昭和55,平成15,平成7
目標年次の市街化率（％）,,,,,87,（暫定）７３,（暫定）６６,（暫定）５１,（暫定）５１
河川整備目標,,,,,おおむね１０年に１回発生する降雨による浸水被害の防止,流域対策とあわせて５０ｍｍ／ｈの降雨に対する治水安全度を確保する。,流域対策とあわせて５０ｍｍ／ｈの降雨に対する治水安全度を確保する。,流域対策とあわせて年超過確率１／１０程度の降雨に対する治水安全度を確保する。,流域対策とあわせて年超過確率１／１０程度の降雨に対する治水安全度を確保する。
流域対策,新規開発,対策基準,対策基準（ｍ３／ｈａ）,敷地面積１．０ｈａ以上,,,600,950,９５０又は７００
流域対策,新規開発,対策基準,対策基準（ｍ３／ｈａ）,敷地面積１．０～０．１ｈａ,,,400,500,500
流域対策,新規開発,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．１ｈａ以上,流出増分,600,,,
流域対策,新規開発,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．１ｈａ未満,,,300,,
流域対策,新規開発,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．１～０．０５ｈａ,,,,500,500
流域対策,新規開発,対策基準,対策基準（ｍ３／ｈａ）,敷地面積０．０５ｈａ未満,,,,各戸貯留浸透対策を奨励,各戸貯留浸透対策を奨励
流域対策,新規開発,対策基準,指導主体,敷地面積１．０ｈａ以上,,,東京都,東京都／埼玉県,東京都／埼玉県／茨城県
流域対策,新規開発,対策基準,指導主体,敷地面積１．０～０．１ｈａ,,,東京都,都（市区町）／埼玉県,都（区）／埼玉県／茨城県
流域対策,新規開発,対策基準,指導主体,敷地面積０．１ｈａ以上,東京都／横浜市／川崎市,都及び関係市／神奈川県／横浜市,,,
流域対策,新規開発,対策基準,指導主体,敷地面積０．１ｈａ未満,,,市町,,
流域対策,新規開発,対策基準,指導主体,敷地面積０．１～０．０５ｈａ,,,,市区町,市区町村
流域対策,新規開発,対策基準,指導主体,敷地面積０．０５ｈａ未満,,,,市区町,市区町村
流域対策,新規開発,目標対策量（ｍ３）,,,都・県計約１０万,都・県計１３４０５９３,東京都１４５５００,都・県計２０７００００,都・県計７１３１０００
流域対策,既開発地（ｍ３）,,,,公共対策量／横浜市域約１９万／川崎市域約６万／町田市域約５万,東京都（１市）／１９６００／神奈川県（５市１町）／８４９１１９／合計８６８７１９,東京都（４市１町）４７６００,東京都（３区８市１町）／２７５５５１／埼玉県（１１市２町）／５７５９３１／合計８５１４８２,東京都（３区）／１１６１００／埼玉県（２２市１２町２村）／８１２８００／茨城県（１村）／２６００／合計９３１５００
