事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
市街地整備を通じて、老朽化した建物等の建替え、更新等を促進していきます,,,,,,31959,,23180
36,１－３２,都市再生ステップアップ・プロジェクトの推進,都市整備局,竹芝地区では、１３年５月の事業予定者決定、９月の基本協定締結を経て、１５年３月に国家戦略特区の「国家戦略都市計画建築物等整備事業」の認定を受け、１５年７月に一部都有地の定期借地契約を締結した。１６年５月には業務棟の建築工事に着手し、着実な推進が図られている。渋谷地区の宮下町アパート跡地では、１５年３月に事業者と定期借地権設定契約書を締結し、建築工事が進められている。また、児童会館では建物解体工事が完了し、区役所の仮庁舎として暫定活用している。,・業務棟工事着手（竹芝）,13,・竣工（宮下町）／・住宅棟工事着手（竹芝）,16
37,１－３３,高度防災都市づくりに向けた大街区化の促進,都市整備局,都心・副都心等地域において、大街区化により、地域ポテンシャルを活かした都市機能の更新と一時的な避難場所、備蓄倉庫等の機能を備えたまちなかの防災拠点の形成を図る。,・東京における大街区化の進め方を取りまとめる,-,・東京における大街区化の進め方を公表、周知を図り、大街区化を促進,-
38,１－３４,エリアマネジメントの普及・促進による地域の防災力向上,都市整備局,管理・運営段階における民間部門の取組を奨励し、良好な市街地を維持・増進していく。,組合・区市等を対象としたエリアマネジメントセミナーを実施,-,組合・区市等を対象としたエリアマネジメントセミナーを実施予定,-
39,（６－６）,地域におけるエネルギー利用のスマート化の推進,環境局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
40,１－３５,防災市街地再開発事業,都市整備局,木造建物が無秩序に密集し、道路が狭隘（あい）で、住宅や商工業が混在した地域において、建築物の不燃化、土地の高度化を図るとともに、震災時には避難場所となる大規模公園等の公共施設を一体的に整備する。,・１地区事業中,15,・１地区事業中,15
41,１－３６,都市施設整備再開発事業,都市整備局,道路等が未整備な既成市街地において、土地の合理的かつ健全な高度利用と都市機能の更新により、地域の防災性や生活環境の向上を図るため、道路等の重要な都市施設と周辺市街地を一体的に整備する。,・１地区事業中,757,・Ｈ２８年度事業完了,-
42,１－３７,組合施行等市街地再開発事業,都市整備局,民間の活力を活用し、地域特性に応じた道路・公園等の公共施設整備・改善、防災等に優れた良好で質の高い建物の供給を図り、身近な地域の都市再生を推進する。,・７地区の組合等について、設立を認可,1575,・１１地区の組合等について、設立を認可予定,125
43,１－３８,都市改造土地区画整理事業,都市整備局,市街地整備に有効な手法である土地区画整理事業により、道路・公園等の都市基盤整備を行うとともに、移転に伴う建物の建替えで、良好な生活環境の確保と防災性の向上を図る。,・４地区のうち１地区が換地処分予定,15575,・３地区のうち１地区が換地処分予定,15808
44,１－３９,組合施行等土地区画整理事業,都市整備局,民間の活力を活用し、地域特性に応じた道路・公園などの公共施設の整備・改善、防災などに優れた良好で質の高い宅地の供給を図り、身近な地域の都市再生を推進する。,・施行者への助成・指導監督（１１地区）,5451,・施行者への助成・指導監督（１１地区）,4182
45,１－４０,臨海部開発事業,都市整備局,大街区方式の土地区画整理事業によって広域幹線道路を整備することにより、都心部と臨海副都心を結ぶ、防災上重要な骨格防災軸および主要延焼遮断帯を形成する。,・晴海地区は１５年度換地処分／・豊洲地区は１９年度に事業延伸予定,8573,・晴海地区は事業完了／・豊洲地区は１９年度に事業延伸／・有明北地区は１９年度に事業延伸予定,3034
46,１－４１,住宅市街地総合整備事業（拠点開発型）,都市整備局,既成市街地において快適な居住環境の創出、都市機能の更新等を図りつつ、良質な住宅市街地の形成を推進するため、住宅市街地の再生・整備を総合的に行う。,・１８地区で行われている事業の指導監督事務,-,・１８地区で行われている事業の指導監督事務,-
