区分,応援協定の名称,担当局,締結日,構成団体又は締結先,協定の内容等,番号
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,総務局、建設局,昭和50年4月1日締結,（一社）東京建設業協会,建設資機材と労働力等の提供、費用負担等,１－（１）／１－（２）／１－（３）
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,総務局、建設局,昭和51年4月1日締結,（一社）日本道路建設業協会,建設資機材と労働力等の提供、費用負担等,１－（１）／１－（２）／１－（３）
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,総務局、建設局,昭和62年4月1日締結,（一社）東京都中小建設業協会,建設資機材と労働力等の提供、費用負担等,１－（１）／１－（２）／１－（３）
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,総務局、建設局,平成8年7月18日締結,（一社）南多摩建設業協会／（一社）北多摩建設業協会,建設資機材と労働力等の提供、費用負担等,１－（１）／１－（２）／１－（３）
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,総務局、建設局,平成8年7月18日締結,西多摩建設業協同組合,建設資機材と労働力等の提供、費用負担等,１－（１）／１－（２）／１－（３）
ライフライン等の応急復旧対応,災害時における設計、測量、地質調査等の応急対策業務に関する協定,総務局、建設局、港湾局,平成25年6月25日締結,（一社）建設コンサルタンツ協会関東支部／（一社）東京都測量設計業協会,被害状況の調査などの応急対策業務、費用負担等,２－（１）／２－（２）／２－（３）
ライフライン等の応急復旧対応,災害時におけるクレーン等の供給に関する協定,総務局、建設局、港湾局,平成26年3月26日締結,東京建設重機協同組合,災害時におけるクレーンの供給,３－（１）／３－（２）／３－（３）
ライフライン等の応急復旧対応,災害時における応急対策業務に関する協定,総務局,昭和54年12月1日締結,（一社）プレハブ建築協会,応急仮設住宅の建設及び建設資機材の提供等災害応急対策業務、費用負担等,4
ライフライン等の応急復旧対応,大規模災害時における清掃工場の使用に関する協定,総務局,平成20年3月31日締結,東京二十三区清掃一部事務組合,災害応急対策を実施する救出救助機関及び民間ライフライン機関等への活動拠点の提供,5
ライフライン等の応急復旧対応,災害時における建物の解体等の応急対策業務に関する協定,総務局,平成25年11月8日締結,（一社）東京建物解体協会,災害時における建物の解体等の応急対策業務,6
ライフライン等の応急復旧対応,震災時における応急危険度判定員への宿泊施設の提供に関する協定,都市整備局,平成22年9月30日,（一社）全日本シティホテル連盟関東支部、東京都簡易宿泊業生活衛生同業組合、東京都ホテル旅館生活衛生同業組合,震災発生後における応急危険度判定員への宿泊施設の提供等,7
