事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
避難所における飲料水の安全等環境衛生確保に向けた支援を行います,,,,,,5,,1357
19,（７－２）,避難所管理運営マニュアル整備の支援,福祉保健局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
20,７－４,避難所における動物の適正な飼養,福祉保健局,災害発生時の飼い主責任等について普及啓発を行うとともに、動物の同行避難を盛り込んだ各区市町村の地域防災計画策定への助言を行う。,・災害発生時の飼い主責任等について講習会などの機会を通じて普及啓発を実施／・総合防災訓練の実施、区市町村の訓練への参加、協力等の支援／・動物の同行避難を盛り込んだ各区市町村の地域防災計画策定への助言と同行避難が災害時に円滑に実施されるよう区市町村の取組を支援,-,・災害発生時の飼い主責任等について講習会などの機会を通じて普及啓発を実施／・総合防災訓練の実施、区市町村の訓練への参加、協力等の支援／・動物の同行避難を盛り込んだ各区市町村の地域防災計画策定への助言と同行避難が災害時に円滑に実施されるよう区市町村の取組を支援,-
21,７－５,食品の安全確保,福祉保健局,震災時の食中毒発生等を防止するため、東京都、区及び市で編成する食品衛生指導班による炊飯所等の衛生管理指導や避難住民に対する食品の衛生的な取扱いの指導を行う。,・街頭相談・懇談会を年７０会場で実施／・食品関係営業施設への巡回指導を年３回実施,-,・引き続き、各種取り組みを実施,-
22,７－６,避難所における飲料水の安全確保〔検水体制の整備〕,福祉保健局,貯水槽貯留水等を避難所において飲用とする際、安全な飲み水を確保するため、消毒薬の配布及び残留塩素の確認等を行う。／区市町村からの要請に応じ、「環境衛生指導班」を編成し、飲み水の安全確認や消毒方法の指導を行う。,・計画に基づく消毒薬量の備蓄／・計画に基づく消毒薬検査機材の配備,5,・計画に基づく消毒薬量の備蓄／・計画に基づく消毒薬検査機材の配備,5
23,７－７,避難住民等の生活衛生の確保支援,福祉保健局,保健所等の環境衛生監視員により「環境衛生指導班」を編成し、避難所における飲料水の衛生、衛生的な室内環境の保持、ごみ保管場所等の適正管理等に関する助言・指導を市町村に対して行う。環境衛生指導班は、市町村部（保健所設置市を除く。）で業務を行うほか、特別区及び保健所設置市からの要請に応じて派遣対応を行う。,・環境測定用機材の保守・点検,-,・環境測定用機材の保守・点検,-
28,７－１１,防災機能強化のための公立学校施設トイレ整備支援事業,教育庁,児童・生徒にとって安全・安心な環境を確保するとともに、災害時における避難所としての機能を向上させるため、トイレ改修（洋式化等）や災害用トイレ（マンホールトイレ等）の整備を実施する区市町村を支援する。,-,-,・トイレ改修（洋式化等）及び災害用トイレ（マンホールトイレ等）整備（財政支援）国庫補助対象事業への補助【区市町村対象】／国庫交付金と起債額を除く設置者負担額を補助,1352
避難生活者の健康状態の確保に向けた保健活動を支援します,,,,,,47,,39
24,（７－２）,避難所管理運営マニュアル整備の支援,福祉保健局,（再掲）,（再掲）,（再掲）,（再掲）,（再掲）
25,７－８,保健所活動体制の整備,福祉保健局,保健所は、保健衛生活動の総合的な調整を行うなど、保健衛生に関する地域の災害対策の拠点としての役割が求められており、効果的な活動を実施することができるよう、職員に対して必要な研修・訓練等を行う。,・災害対策研修、マニュアルに基づく訓練、救急セットの更新、災害時における支援の受入体制の検討・整備等を適宜実施,-,・災害対策研修、マニュアルに基づく訓練、救急セットの更新、災害時における支援の受入体制の検討・整備等を適宜実施,-
26,７－９,在宅難病患者等の救護及び支援の充実,福祉保健局,医療依存度の高い重症難病患者や透析医療を受けている患者等にとっては災害によるライフラインの停止や医療の中断は危機的な状況を招く。普及啓発活動や災害時連絡体制の維持等により、災害時の在宅難病患者等の救護体制や支援の充実を図る。,・区市町村への支援継続／・マニュアルに沿った体制の構築と必要に応じた改訂の検証等,47,・区市町村への支援継続／・マニュアルに沿った体制の構築と必要に応じた改訂の検証等,39
