種別,箇所数,１次／２次／３次,施設名称１,施設名称２,所在地,緯度,経度,座標系,区市町村
（１）災害拠点病院,75,2,【区中央部】,駿河台日本大学病院,千代田区神田駿河台１－８－１３,35.698160,139.763900,JGD2011,千代田
（１）災害拠点病院,※,2,【区中央部】,三井記念病院,千代田区神田和泉町１,35.698989,139.777406,JGD2011,千代田
（１）災害拠点病院,※,2,【区中央部】,聖路加国際病院,中央区明石町９－１,35.667429,139.777147,JGD2011,中央
（１）災害拠点病院,※,2,【区中央部】,東京都済生会中央病院,港区三田１－４－１７,35.653443,139.744261,JGD2011,港
（１）災害拠点病院,※,2,【区中央部】,東京慈恵会医科大学附属病院,港区西新橋３－１９－１８,35.663556,139.751238,JGD2011,港
（１）災害拠点病院,※,2,【区中央部】,北里研究所病院,港区白金５－９－１,35.645590,139.725400,JGD2011,港
（１）災害拠点病院,※,2,【区中央部】,日本医科大学付属病院,文京区千駄木１－１－５,35.721516,139.759186,JGD2011,文京
（１）災害拠点病院,※,2,【区中央部】,都立駒込病院,文京区本駒込３－１８－２２,35.729990,139.756100,JGD2011,文京
（１）災害拠点病院,※,2,【区中央部】,順天堂大学医学部附属順天堂医院,文京区本郷３－１－３,35.702238,139.762486,JGD2011,文京
（１）災害拠点病院,※,2,【区中央部】,東京医科歯科大学医学部付属病院,文京区湯島１－５－４５,35.700977,139.764941,JGD2011,文京
（１）災害拠点病院,※,2,【区中央部】,東京大学医学部付属病院,文京区本郷７－３－１,35.712062,139.762697,JGD2011,文京
（１）災害拠点病院,※,2,【区中央部】,永寿総合病院,台東区東上野２－２３－１６,35.709749,139.779629,JGD2011,台東
（１）災害拠点病院,※,2,【区南部】,保健医療公社荏原病院,大田区東雪谷４－５－１０,35.594608,139.693676,JGD2011,大田
（１）災害拠点病院,※,2,【区南部】,東邦大学医療センター大森病院,大田区大森西６－１１－１,35.569036,139.723964,JGD2011,大田
（１）災害拠点病院,※,2,【区南部】,大森赤十字病院,大田区中央４－３０－１,35.578800,139.717200,JGD2011,太田
（１）災害拠点病院,※,2,【区南部】,昭和大学病院,品川区旗の台１－５－８,35.608495,139.703499,JGD2011,品川
（１）災害拠点病院,※,2,【区南部】,ＮＴＴ東日本関東病院,品川区東五反田５－９－２２,35.630920,139.724900,JGD2011,品川
（１）災害拠点病院,※,2,【区西南部】,都立広尾病院,渋谷区恵比寿２－３４－１０,35.646638,139.721236,JGD2011,渋谷
（１）災害拠点病院,※,2,【区西南部】,日本赤十字社医療センター,渋谷区広尾４－１－２２,35.654440,139.717944,JGD2011,渋谷
（１）災害拠点病院,※,2,【区西南部】,至誠会第二病院,世田谷区上祖師谷５－１９－１,35.656300,139.591400,JGD2011,世田谷
（１）災害拠点病院,※,2,【区西南部】,公立学校共済組合関東中央病院,世田谷区上用賀６－２５－１,35.637230,139.626100,JGD2011,世田谷
（１）災害拠点病院,※,2,【区西南部】,都立松沢病院,世田谷区上北沢２－１－１,35.667094,139.618254,JGD2011,世田谷
（１）災害拠点病院,※,2,【区西南部】,国立病院機構東京医療センター,目黒区東が丘２－５－１,35.626980,139.666200,JGD2011,目黒
（１）災害拠点病院,※,2,【区西部】,慶応義塾大学病院,新宿区信濃町３５,35.681675,139.718121,JGD2011,新宿
（１）災害拠点病院,※,2,【区西部】,東京女子医科大学病院,新宿区河田町８－１,35.698121,139.720103,JGD2011,新宿
（１）災害拠点病院,※,2,【区西部】,東京医科大学病院,新宿区西新宿６－７－１,35.693398,139.691806,JGD2011,新宿
