災害拠点病院,河川等防災船着揚候補地,所在地,備考
天堂大学医学部附属順天堂医院,新三崎橋,千代田区飯田橋３丁目,
駿河台日本大学病院,和泉橋,千代田区神田佐久間町,
東京医科歯科大学医学部附属病院,和泉橋,千代田区神田佐久間町,
三井記念病院,和泉橋,千代田区神田佐久間町,
聖路加国際病院,新川,中央区新川２丁目地先,
聖路加国際病院,明石町,中央区明石町地先,
聖路加国際病院,箱崎町,中央区日本橋箱崎町地先,
順天堂大学医学部附属順天堂医,院市兵衛河岸,文京区後楽１丁目,
白鬚橋病院,桜橋,台東区今戸１丁目地先,
永寿総合病院,浅草,台東区花川戸１丁目地先,
永寿総合病院,吾妻橋,墨田区吾妻橋１丁目先,
聖路加国際病院,越中島,江東区越中島１丁目地先,
あそか病院,扇橋閘門,江東区猿江１丁目地先,
あそか病院,高橋乗船場,江東区高橋,
東京都立墨東病院,亀戸乗船場,江東区亀戸２丁目１番地先,
東京都立墨東病院,天神橋乗船場,江東区亀戸３丁目８番地先,
江東病院,番所橋乗船場,江東区東砂２丁目１４番地先,
あそか病院,小名木川クローバー橋乗船場,江東区北砂１丁目２番地先,
東邦大学医療センター大森病院,夫婦橋,大田区南蒲田１,
博慈会記念総合病院,神谷,北区神谷１丁目３番地先,
東京女子医科大学東医療センター,荒川遊園,荒川区西尾久６丁目地先,
東京女子医科大学東医療センター,東尾久,荒川区東尾久７丁目３番地,
