区分１,区分２,区分３,区分４,大島町,利島村,新島村／新島,新島村／式根島,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村／父島,小笠原村／母島,島しょ部計
夜間人口（人）,,,,8461,341,2351,532,1889,2676,348,8231,201,1880,491,27401
昼間人口（人）,,,,8490,348,2299,591,1895,2711,355,8258,209,2254,462,27872
面積（ｋｍ２）,,,,91.06,4.12,23.91,3.92,18.87,55.50,20.58,72.62,5.98,23.80,20.21,-
震度別面積率（％）,４以下,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,100.0,100.0,100.0,45.62
震度別面積率（％）,５弱,,,0.00,0.00,0.00,0.00,0.03,99.71,100.0,0.00,0.00,0.00,0.00,18.95
震度別面積率（％）,５強,,,99.95,99.88,98.32,100.0,99.81,0.29,0.00,0.00,0.00,0.00,0.00,35.31
震度別面積率（％）,６弱,,,0.05,0.12,1.68,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.12
震度別面積率（％）,６強以上,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
最大津波高（島全体）（ｍ）,,,,14.57,15.00,29.68,28.15,26.36,16.11,6.20,16.13,16.65,11.03,8.83,29.68
最大津波高の到達時間（分）,,,,21.4,18.1,16.1,13.7,15.7,24.6,43.5,27.7,34.4,124.6,125.8,16.1
建物棟数,計,,,5988,243,1684,490,1540,1911,183,5154,90,508,132,17923
建物棟数,木造,,,5092,171,770,416,1087,1692,171,3808,52,108,60,13427
建物棟数,非木造,,,896,72,914,74,453,219,12,1346,38,400,72,4496
原因別建物全壊棟数,計,,,37,26,737,16,224,76,0,16,0,42,1,1175
原因別建物全壊棟数,揺れ,,,0,0,0,0,0,0,0,0,0,0,0,0
原因別建物全壊棟数,液状化,,,0,0,0,0,0,0,0,0,0,0,0,0
原因別建物全壊棟数,急傾斜地崩壊等,,,31,24,22,2,42,1,0,0,0,0,0,122
原因別建物全壊棟数,津波,,,6,2,715,14,182,75,0,16,0,42,1,1053
原因別建物半壊棟数,計,,,141,33,200,13,75,35,0,0,0,104,8,609
原因別建物半壊棟数,揺れ,,,65,1,5,2,8,0,0,0,0,0,0,81
原因別建物半壊棟数,液状化,,,0,0,0,0,0,0,0,0,0,0,0,0
原因別建物半壊棟数,急傾斜地崩壊等,,,41,32,20,3,49,1,0,0,0,0,0,146
原因別建物半壊棟数,津波,,,35,0,175,8,18,34,0,0,0,104,8,382
人的被害,死者（人）,計,,34,3,1298,3,268,55,0,17,0,32,4,1714
人的被害,死者（人）,揺れ,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,死者（人）,急傾斜地崩壊等,,3,2,2,0,3,0,0,0,0,0,0,10
人的被害,死者（人）,津波,,31,1,1296,3,265,55,0,17,0,32,4,1704
人的被害,死者（人）,屋外転倒・落下物,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,死者（人）,火災,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,死者（人）,屋内収容物（参考値）,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,計（人）,,21,2,47,2,9,1,0,3,0,6,3,94
人的被害,負傷者（人）,揺れ,,12,0,0,0,2,0,0,0,0,0,0,14
人的被害,負傷者（人）,急傾斜地崩壊等,,3,2,2,0,4,0,0,0,0,0,0,11
人的被害,負傷者（人）,津波,,6,0,45,2,3,1,0,3,0,6,3,69
人的被害,負傷者（人）,屋外転倒・落下物,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,火災,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,屋内収容物（参考値）,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,うち重傷者（人）,計（人）,5,1,17,1,3,0,0,0,0,2,1,30
人的被害,負傷者（人）,うち重傷者（人）,揺れ,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,うち重傷者（人）,急傾斜地崩壊等,3,1,2,0,2,0,0,0,0,0,0,8
人的被害,負傷者（人）,うち重傷者（人）,津波,2,0,15,1,1,0,0,0,0,2,1,22
人的被害,負傷者（人）,うち重傷者（人）,屋外転倒・落下物,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,うち重傷者（人）,火災,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,うち重傷者（人）,屋内収容物（参考値）,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,自力脱出困難者,,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,津波要救助者,,,0,0,5,0,1,2,0,1,0,32,1,42
