所名,郵便番号,所在地,電話
千代田,101-8520,千代田区内神田２－１－１２,03-3252-7141
中央,104-8558,中央区新富２－６－１,03-3553-2151
港,108-8380,港区芝５－３６－５,03-3453-3211
新宿,160-8304,新宿区西新宿７－５－８,03-3369-7151
文京,112-8550,文京区春日１－１６－２１,03-3812-3241
台東,111-8606,台東区雷門１－６－１,03-3841-1271
墨田,130-8608,墨田区業平１－７－４,03-3625-5061
江東,136-8533,江東区大島３－１－３,03-3637-7121
品川,140-8716,品川区広町２－１－３６,03-3774-6666
目黒,153-8937,目黒区中目黒３－１３－２９,03-3711-2141
大田,144-8511,大田区西蒲田７－１１－１,03-3733-2411
世田谷,154-8577,世田谷区若林４－２２－１２,03-3413-7111
渋谷,150-8306,渋谷区宇田川町１－１,03-3463-4311
中野,164-0001,中野区中野４－６－１５,03-3386-1111
杉並,166-8502,杉並区成田東５－３９－１１,03-3393-1171
豊島,171-8506,豊島区西池袋１－１７－１,03-3981-1211
北,114-8517,北区中十条１－７－８,03-3908-1171
荒川,116-8586,荒川区荒川１－５０－１４,03-3802-8111
板橋,173-8510,板橋区大山東町４４－８,03-3963-2111
練馬,176-8511,練馬区豊玉北６－１３－１０,03-3993-2261
足立,120-8508,足立区千住１－３０－８,03-3882-2111
葛飾,124-8520,葛飾区立石５－１３－１,03-3697-7511
江戸川,132-8551,江戸川区中央４－２４－１９,03-3654-2151
青梅,198-0036,青梅市河辺町６－４－１,0428-22-1151
八王子,192-8611,八王子市明神町３－１９－２,0426-44-1111
町田,194-8540,町田市中町１－３１－１２,042-728-5111
立川,190-8581,立川市錦町４－６－３,042-523-3171
府中,183-8549,府中市宮西町１－２６－１,042-364-2281
小平,187-8533,小平市花小金井１－６－２０,0424-64-1515
