項目,調査内容１,調査内容２,該当
生年月日,健診時に新生児か乳児,新生児,◎
生年月日,健診時に新生児か乳児,乳児,◎
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,１．気管支ぜん息,,○
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,２．喘息様気管支炎,,○
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,３．ぜん息気味,,○
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,４．ＣＯＰＤ（慢性気管支炎、肺気腫）,,
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,５．呼吸不全,,○
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,６．肺ガン,,
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,７．肺結核,,
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,８．肺結核後遺症,,
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,１１．在宅酸素使用中,,○
問２．呼吸器疾患これまでに呼吸器系の疾患と診断されたことがありますか。,１２．その他（）,,
問３．問題解決自分で日常生活上の問題を解決できますか,１．できる,,
問３．問題解決自分で日常生活上の問題を解決できますか,２．手助けがあればできる,,
問３．問題解決自分で日常生活上の問題を解決できますか,３．できない,,◎
問４．日常行動（地理等の不案内で公共交通機関（電車・バス等）に利用ができないは除く）,１．寝たきりもしくはそれに近い状態,,◎
問４．日常行動（地理等の不案内で公共交通機関（電車・バス等）に利用ができないは除く）,２．寝たきりではないが、日中ほとんど車椅子等の生活,,◎
問４．日常行動（地理等の不案内で公共交通機関（電車・バス等）に利用ができないは除く）,３．一人ではできないが、手助けがあればできる。,,
問４．日常行動（地理等の不案内で公共交通機関（電車・バス等）に利用ができないは除く）,４．多少不自由だが、自分で行動できる。,,
問４．日常行動（地理等の不案内で公共交通機関（電車・バス等）に利用ができないは除く）,５．問題なく行動できる。,,
問５．身体障害身体等に障害はありますか,１．ある　２．ない,,○
問５．身体障害身体等に障害はありますか,１．下肢機能障害,,○
問５．身体障害身体等に障害はありますか,２．視力障害,,○
問５．身体障害身体等に障害はありますか,３．聴力障害,,○
問５．身体障害身体等に障害はありますか,４．痴呆状態,,○
問５．身体障害身体等に障害はありますか,５．精神状態,,○
問５．身体障害身体等に障害はありますか,６．その他（）,,○
問６．妊娠の有無現在妊娠していますか,１．妊娠している,,◎
問６．妊娠の有無現在妊娠していますか,２．妊娠している可能性がある。,,◎
