植物名,生活型,樹高・草丈（ｍ）,導入方式,備考
スダジイ,常緑高木,２０～２５,直播・植栽,照葉樹林帯の極相林構成種
イヌマキ,常緑高木,20,植栽,暖地の山地に自生
タブノキ,常緑高木,15,直播,照葉樹林帯の極相林構成種
ユズリハ,常緑高木,12,植栽,暖地性の陰樹、幼時の耐寒性小
ヤブツバキ,常緑高木,10,直播・植栽,耐陰性大、園芸品種との交雑注意
オオシマザクラ,落葉高木,15,植栽,耐寒性大、園芸品種との交雑注意
オオバヤシャブシ,落葉高木,１０～１５,直播・植栽,先駆植物、肥料木
ハチジョウグワ,落葉高木,10,植栽,ヤマグワの亜種、伊豆諸島特産
オオバエゴノキ,落葉小高木,８～１０,直播・植栽,陽樹、成長早く萌芽力強い
ツゲ,常緑小高木,１～６,植栽,耐寒性大、生長遅い
ヒサカキ,常緑低木,３～１０,植栽,耐寒性大
ハチジョウイヌツゲ,常緑低木,２～９,植栽,イヌツゲの亜種、伊豆諸島特産
トベラ,常緑低木,２～３,植栽,暖地の海岸に自生
ニオイウツギ,落葉低木,３～５,植栽,ハコネウツギの亜種、海岸に多い
ハチジョウイボタ,落葉低木,２～５,植栽,オオバイボタの亜種、伊豆諸島特産
カジイチゴ,落葉低木,２～３,直播・植栽,先駆植物、海岸に自生
ガクアジサイ,落葉低木,2,植栽,耐寒性・耐乾性小、園芸品種多
オオムラサキシキブ,落葉低木,3,植栽,幼時の耐寒性小
サルトリイバラ,落葉低木,3,直播・植栽,山野に自生、落葉つる性
オオシマカンスゲ,常緑草本,0.3,直播・植栽,先駆植物ともなる
ハチジョウススキ,落葉草本,1,直播・植栽,先駆植物
ハチジョウイタドリ,落葉草本,0.5,直播・植栽,先駆植物
ユノミネシダ,多年性常緑シダ,0.5,直播・植栽,温泉地等酸性土壌の先駆植物
