区市町村,分類教育機関,分類研究機関,分類医療機関,分類民間機関,分類その他の機関,分類計
千代田,3,1,7,12,7,30
中央,1,2,4,18,5,30
港,5,1,8,11,2,27
新宿,10,3,11,14,4,42
文京,15,3,6,12,4,40
台東,,1,,4,,5
墨田,,,1,7,1,9
江東,,6,3,22,8,39
品川,3,2,3,13,,21
目黒,9,4,4,3,4,24
大田,2,,3,28,3,36
世田谷,4,3,3,9,6,25
渋谷,,,4,5,2,11
中野,,2,2,10,3,17
杉並,,,,6,2,8
豊島,3,,1,10,1,15
北,,1,1,12,2,16
荒川,1,,,4,1,6
板橋,2,4,8,12,4,30
練馬,,1,1,6,14,22
足立,,,2,7,4,13
葛飾,2,,,3,1,6
江戸川,,1,3,16,,20
区計,60,35,75,244,78,492
八王子,7,2,3,17,,29
立川,,2,2,2,5,11
武蔵野,2,,1,2,,5
三鷹,2,1,1,4,,8
青梅,,,1,3,,4
府中,3,,2,7,1,13
昭島,,,1,4,,5
調布,,1,,3,1,5
町田,1,3,1,5,,10
小金井,5,,,2,,7
小平,,,3,,1,4
日野,,,,5,,5
東村山,,2,1,,1,4
国分寺,,1,,,,1
国立,,1,,,,1
福生,,,,2,1,3
狛江,,1,1,1,,3
東大和,,1,,,,1
清瀬,1,,2,,2,5
東久留米,,,,2,,2
武蔵村山,,1,1,1,,3
多摩,,2,2,,,4
稲城,,,1,3,1,5
羽村,,,,2,,2
あきる野,,,1,1,,2
西東京,,,,,,0
市計,21,18,24,66,13,142
瑞穂,,,,2,,2
日の出,,,,1,,1
檜原,,,,,,0
奥多摩,,,,,,0
大島,,,,,,0
八丈,,,,,,0
利島,,,,,,0
新島,,,,,,0
神津島,,,,,,0
三宅,,,,,,0
御蔵島,,,,,,0
青ヶ島,,,,,,0
小笠原,,,,1,,1
町村計,0,0,0,4,0,4
都合計,81,53,99,314,91,638
