区分１,区分２,区分３,区分４,大島町,利島村,新島村／新島,新島村／式根島,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村／父島,小笠原村／母島,島しょ部計
夜間人口（人）,,,,8461,341,2351,532,1889,2676,348,8231,201,1880,491,27401
昼間人口（人）,,,,8490,348,2299,591,1895,2711,355,8258,209,2254,462,27872
面積（ｋｍ２）,,,,91.06,4.12,23.91,3.92,18.87,55.50,20.58,72.62,5.98,23.80,20.21,-
震度別面積率（％）,４以下,,,0.00,0.00,0.04,0.00,77.94,99.73,99.95,0.0,0.0,100.0,100.0,48.63
震度別面積率（％）,５弱,,,0.00,0.00,76.39,100.00,21.90,0.26,0.1,99.85,99.97,0.00,0.00,26.16
震度別面積率（％）,５強,,,11.84,90.43,21.88,0.0,0.16,0.01,0.00,0.15,0.03,0.00,0.00,4.97
震度別面積率（％）,６弱,,,87.94,9.57,1.69,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,20.19
震度別面積率（％）,６強以上,,,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
最大津波高（島全体）（ｍ）,,,,8.69,4.94,9.66,7.06,10.98,18.20,22.60,10.75,5.77,3.96,2.76,22.60
最大津波高の到達時間（分）,,,,11.1,19.6,41.0,43.9,37.4,16.7,17.6,44.0,56.3,199.3,199.4,17.6
建物棟数,計,,,5988,243,1684,490,1540,1911,183,5154,90,508,132,17923
建物棟数,木造,,,5092,171,770,416,1087,1692,171,3808,52,108,60,13427
建物棟数,非木造,,,896,72,914,74,453,219,12,1346,38,400,72,4496
原因別建物全壊棟数,計,,,129,24,19,0,1,117,0,2,0,2,0,294
原因別建物全壊棟数,揺れ,,,19,0,0,0,0,0,0,0,0,0,0,19
原因別建物全壊棟数,液状化,,,0,0,0,0,0,0,0,0,0,0,0,0
原因別建物全壊棟数,急傾斜地崩壊等,,,110,24,18,0,0,0,0,0,0,0,0,152
原因別建物全壊棟数,津波,,,0,0,1,0,1,117,0,2,0,2,0,123
原因別建物半壊棟数,計,,,522,36,25,2,6,13,0,5,0,20,0,629
原因別建物半壊棟数,揺れ,,,385,4,0,0,0,0,0,0,0,0,0,389
原因別建物半壊棟数,液状化,,,0,0,0,0,0,0,0,0,0,0,0,0
原因別建物半壊棟数,急傾斜地崩壊等,,,133,32,24,0,0,0,0,0,0,0,0,189
原因別建物半壊棟数,津波,,,4,0,1,2,6,13,0,5,0,20,0,51
人的被害,死者（人）,計,,15,2,2,0,2,143,0,1,0,0,0,165
人的被害,死者（人）,揺れ,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,死者（人）,急傾斜地崩壊等,,7,2,1,0,0,0,0,0,0,0,0,10
人的被害,死者（人）,津波,,8,0,1,0,2,143,0,1,0,0,0,155
人的被害,死者（人）,屋外転倒・落下物,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,死者（人）,火災,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,死者（人）,屋内収容物（参考値）,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,計（人）,,89,3,5,0,0,0,0,0,0,3,0,100
人的被害,負傷者（人）,揺れ,,76,1,0,0,0,0,0,0,0,0,0,77
人的被害,負傷者（人）,急傾斜地崩壊等,,9,2,2,0,0,0,0,0,0,0,0,13
人的被害,負傷者（人）,津波,,4,0,3,0,0,0,0,0,0,3,0,10
人的被害,負傷者（人）,屋外転倒・落下物,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,火災,,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,屋内収容物（参考値）,,1,0,0,0,0,0,0,0,0,0,0,1
人的被害,負傷者（人）,うち重傷者（人）,計（人）,6,1,3,0,0,0,0,0,0,1,0,11
人的被害,負傷者（人）,うち重傷者（人）,揺れ,1,0,0,0,0,0,0,0,0,0,0,1
人的被害,負傷者（人）,うち重傷者（人）,急傾斜地崩壊等,4,1,2,0,0,0,0,0,0,0,0,7
人的被害,負傷者（人）,うち重傷者（人）,津波,1,0,1,0,0,0,0,0,0,1,0,3
人的被害,負傷者（人）,うち重傷者（人）,屋外転倒・落下物,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,うち重傷者（人）,火災,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,負傷者（人）,うち重傷者（人）,屋内収容物（参考値）,0,0,0,0,0,0,0,0,0,0,0,0
人的被害,自力脱出困難者,,,2,0,0,0,0,0,0,0,0,0,0,2
人的被害,津波要救助者,,,0,0,0,0,0,0,0,0,0,6,0,6
