事業名１,事業名２,事業名３,事業名４,事業名５,平成２３年度（百万円）,平成２４年度（百万円）,平成２５年度（百万円）
第１部都民と地域の防災力向上,,,,,4966,5536,5330
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,,,,2787,3239,2878
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,防災意識の啓発及びＴｗｉｔｔｅｒなど新たな通信手段による情報発信,,,2536,3043,2651
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,幼児期からの総合防災教育による防災対策の推進,,,7,5,1
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,防災教育副読本等を活用した防災教育の推進,,,26,24,25
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,宿泊防災訓練を通した社会貢献意識の醸成,,,,20,41
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,児童養護施設等の防災対策,,,0,0,0
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,防災訓練の推進による都民の防災行動力の向上,,,149,94,95
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,消防少年団の充実強化,,,62,46,58
第１部都民と地域の防災力向上,第１章自助による都民の防災力向上,外国人に対する防災情報体制の強化,,,7,7,7
第１部都民と地域の防災力向上,第２章地域による共助の推進,,,,42,335,153
第１部都民と地域の防災力向上,第２章地域による共助の推進,防災隣組事業,,,0,44,51
第１部都民と地域の防災力向上,第２章地域による共助の推進,防災市民組織等の育成指導,,,20,28,28
第１部都民と地域の防災力向上,第２章地域による共助の推進,スタンドパイプを活用した消火栓等からの応急給水及び初期消火体制の強化,,,0,150,0
第１部都民と地域の防災力向上,第２章地域による共助の推進,木造住宅密集地域における防災対策の推進,,,22,113,74
第１部都民と地域の防災力向上,第３章消防団の活動体制の充実,,,,1050,908,1250
第１部都民と地域の防災力向上,第３章消防団の活動体制の充実,特別区消防団の災害対応力の充実強化,,,1050,908,1239
第１部都民と地域の防災力向上,第３章消防団の活動体制の充実,市町村消防団支援事業,,,0,0,11
第１部都民と地域の防災力向上,第４章事業所による自助・共助の強化,,,,949,989,979
第１部都民と地域の防災力向上,第４章事業所による自助・共助の強化,事業所防災訓練の充実,,,5,3,3
第１部都民と地域の防災力向上,第４章事業所による自助・共助の強化,高圧ガス取扱事業所に対する事業所防災計画の作成指導,,,2,3,3
