事業名１,事業名２,事業名３,局名,事業の概要,２０１６（２８）主な取組,２０１６（２８）事業費（百万円）,２０１７（２９）主な取組,２０１７（２９）事業費（百万円）
１建物の耐震化、更新等,,,,,,142661,,139464
防災上重要な建築物の倒壊を防ぎます,,,,,,33490,,34599
避難所機能や医療機能の確保が必要となる学校、病院をはじめとした重要な建築物について、財政的・技術的側面からの支援を行い、耐震化を進めます,,,,,,30998,,32475
1,１－１,私立幼稚園、高等学校、特別支援学校施設の耐震化,生活文化局,私立学校に対し、生徒等の安全を確保するために行う校舎等の耐震改築工事、耐震補強工事及び耐震診断に要する経費の一部を補助するほか、建築士派遣や説明会などの耐震化促進啓発事業を実施する。,・校舎等の耐震診断、耐震化工事に対する補助を実施／耐震診断補助率４／５／耐震補強工事補助率［Ｉｓ値０．３未満］４／５／耐震改築工事［Ｉｓ値０．３以上０．７未満］２／３／【１５年度補助実績】／・耐震診断２０校、耐震補強工事２２校、耐震改築工事２２校／・希望する学校に対し、建築士を派遣し、耐震化計画策定を支援する取組を実施／・補助制度説明会を４月に開催、他の補助金説明会などにおいても補助制度を周知／・耐震化普及啓発事業として、耐震化促進事業説明会を実施し、耐震化促進に向けた啓発事業を展開,7184,・引き続き、私立学校安全対策促進事業費補助による対象施設の耐震化に向けた財政支援や説明会などの耐震化促進啓発事業を実施,6556
2,１－２,医療施設の耐震化,福祉保健局,都民の生命の保護と経済活動における減災を図るため、病院や私立学校などの防災上重要な民間建築物、百貨店・ホテルなどの不特定多数の人が利用する民間建築物及び公立小中学校などの防災上重要な区市町村立建築物の耐震化を促進する。,【医療施設耐震化緊急対策事業】／・新築建替１４施設／・耐震補強６施設／・耐震診断４７施設／【医療施設耐震対策緊急促進事業】／・新築建替３施設／【医療施設耐震化促進事業】／・耐震診断５施設／・耐震補強２施設／【医療施設耐震化緊急整備事業】／・新築建替５施設／【医療施設耐震計画作成支援事業】／・５２施設,5267,【医療施設耐震化緊急対策事業】／・新築建替１５施設／・耐震補強６施設／・耐震診断４３施設／【医療施設耐震対策緊急促進事業】／・新築建替４施設／【医療施設耐震化促進事業】／・耐震診断８施設／・耐震補強１施設／【医療施設耐震化緊急整備事業】／・新築建替４施設／【医療施設耐震計画作成支援事業】／・２５施設,4111
3,１－３,社会福祉施設等の耐震化,福祉保健局,都民の生命の保護と経済活動における減災を図るため、病院や私立学校などの防災上重要な民間建築物、百貨店・ホテルなどの不特定多数の人が利用する民間建築物及び公立小中学校などの防災上重要な区市町村立建築物の耐震化を促進する。,・１５年度の補助実績／耐震診断２棟、耐震改修６棟,289,・引き続き、社会福祉施設等耐震化促進事業により、対象施設の耐震化に向けた耐震診断・改修への補助を実施,181
4,１－４,防災上重要な建築物の耐震化推進,建設局／産業労働局,都民の生命の保護と経済活動における減災を図るため、病院や私立学校などの防災上重要な民間建築物、百貨店・ホテルなどの不特定多数の人が利用する民間建築物及び公立小中学校などの防災上重要な区市町村立建築物の耐震化を促進する。,・１６年度新庁舎工事着手（１９年度完了予定、１６年度建築工事）／・日比谷公会堂耐震化・施設改修基本計画、一部施設撤去調査・設計実施／・東京都中小企業制度融資のうち、産業力強化融資の「チャレンジ」にて中小企業の耐震化を支援対象とすることが可能,622,・新庁舎工事（１９年度完了予定、１７年度建築工事・設備工事）／・日比谷公会堂一部施設撤去調査・設計、建物追加調査実施／・東京都中小企業制度融資のうち、産業力強化融資の「チャレンジ」にて中小企業の耐震化を支援対象とすることが可能,731
6,１－６,災害活動拠点として相応しい先進的で多機能な消防庁舎の建設,東京消防庁,複雑多様化する災害に対応できる、地域に合った先進的で多機能な庁舎を、震災時等の初動体制確保のため整備する。,自家用発電設備５か所の整備及び庁舎水害対策７か所を実施,110,自家用発電設備５か所の整備を実施予定,76
7,１－７,都立建築物の耐震化,財務局,東京都が所有する防災上重要な公共建築物について、「耐震化整備プログラム」に基づき、耐震化を推進する。,耐震化未完了２９棟について建替、移転、改修工事を実施,-,耐震化未完了建築物について個別に関係各局と連携、耐震化完了に向けた取組を推進,-
7,１－７,都立建築物の耐震化,福祉保健局,東京都が所有する防災上重要な公共建築物について、「耐震化整備プログラム」に基づき、耐震化を推進する。,１施設が仮設移転により耐震化完了見込,2949,２施設が移転等により耐震化完了見込,4261
7,１－７,都立建築物の耐震化,中央卸売市場,東京都が所有する防災上重要な公共建築物について、「耐震化整備プログラム」に基づき、耐震化を推進する。,１６年度末９０％完了（築地市場の５棟のみ未実施）,-,-,-
7,１－７,都立建築物の耐震化,警視庁,東京都が所有する防災上重要な公共建築物について、「耐震化整備プログラム」に基づき、耐震化を推進する。,警察庁舎及び宿舎の耐震化に向け工事等を実施予定,1002,警察庁舎及び宿舎の耐震化に向け工事等を実施予定,172
7,１－７,都立建築物の耐震化,東京消防庁,東京都が所有する防災上重要な公共建築物について、「耐震化整備プログラム」に基づき、耐震化を推進する。,消防庁舎及び宿舎の耐震化に向け工事等を実施,568,消防庁舎及び宿舎の耐震化に向け工事等を実施予定,594
8,１－８,警察署庁舎の整備,警視庁,災害時に活動拠点となる警察署庁舎の整備を図る。,老朽・狭隘化、耐震性に問題がある警察署を改善する。,13007,老朽・狭隘化、耐震性に問題がある警察署を改善する。,15793
