番号,施設名,所在地,確保面積（ｍ２）,現況,備考
1,皇居前広場,千代田区皇居外苑１番馬場先地区,5000,広場,
2,都立日比谷公園（第二花壇）,千代田区日比谷公園１番地,1800,公園,
3,上智大学運動場,千代田区紀尾井町５番,1400,大学グラウンド,
4,北の丸公園第２駐車場,千代田区北の丸公園２,3000,駐車場,
5,北の丸公園第３駐車場,千代田区北の丸公園１－１,4000,駐車場,駿河台日本大学病院、三井記念病院
6,千代田区立外濠公園総合グラウンド,千代田区五番町先,1800,野球場,東京女子医科大学病院
7,中央区立晴海運動場,中央区晴海５－９,8068,グラウンド（公共等）,
8,中央区立月島運動場,中央区晴海１－３－２９,10000,野球場,聖路加国際病院
9,中央区立豊海運動公園,中央区豊海町３－１９,10597,公園,
10,都立芝公園グラウンド,港区芝公園１・２・３・４丁目,7000,グラウンド（公共等）,東京都済生会中央病院、東京慈恵会医科大学附属病院
11,港区立麻布運動場・野球場,港区南麻布５－６－３３,7200,野球場,北里大学北里研究所病院、都立広尾病院、日本赤十字社医療センター
12,聖心女子学院グラウンド,港区白金４－１１－１,4998,高校グラウンド,ＮＴＴ東日本関東病院
13,国立大学法人東京海洋大学グラウンド,港区港南４－５－７,2500,大学グラウンド,
14,迎賓館ヘリポート,港区元赤坂２丁目,3600,ヘリポート,
15,明治神宮外苑軟式野球場,新宿区霞ヶ丘町１－１,2000,野球場,慶應義塾大学病院
16,都立落合中央公園野球場,新宿区上落合１－２,7200,野球場,
17,新宿区立西戸山公園野球場,新宿区百人町４－１,2000,野球場,東京医科大学病院、東京都保健医療公社大久保病院、国立国際医療研究センター、社会保険中央病院
18,東京都庁第一本庁舎,新宿区西新宿２－８－１,420,屋上施設,東京医科大学病院、東京都保健医療公社大久保病院
19,国立国際医療研究センターヘリポート,新宿区戸山１－２１－１,,屋上施設,国立国際医療研究センター
20,東京大学御殿下グラウンド,文京区本郷７－３－１,4000,大学グラウンド,日本医科大学付属病院、都立駒込病院、順天堂大学医学部附属順天堂医院、東京医科歯科大学医学部附属病院、東京大学医学部附属病院
21,東京大学医学部附属病院ヘリポート,文京区本郷７－３－１,,屋上施設,東京大学医学部附属病院
22,東京大学農学部グラウンド,文京区弥生１－１,3200,大学グラウン,
23,順天堂大学医学部附属順天堂医院ヘリポート,文京区本郷３－１－３,,屋上施設,順天堂大学医学部附属順天堂医院
24,東京医科歯科大学医学部附属病院ヘリポート,文京区湯島１－５－４５,,屋上施設,東京医科歯科大学医学部附属病院
25,目白台運動公園,文京区目白台１－２０－２,5000,グラウンド（公共等）,
26,文京シビックセンター,文京区春日１－１６－２１,,屋上施設,
27,台東区立リバーサイドスポーツセンター野球場,台東区今戸１－１－３０,9648,野球場,
28,台東区立リバーサイドスポーツセンター少年野球場,台東区浅草７－１－２２,3600,野球場,
29,永寿総合病院ヘリポート,台東区東上野２－２３－１６,,屋上施設,永寿総合病院
30,都立上野恩賜公園正岡子規記念球場,台東区上野公園,1600,野球場,永寿総合病院
31,都立墨東病院ヘリポート,墨田区江東橋４－２３－１５,480,屋上施設,都立墨東病院
32,墨田区立東墨田運動場,墨田区東墨田１－１０,5000,野球場,白鬚橋病院
33,墨田区立新平井橋公園,墨田区東墨田１－６－２,2026,公園,
34,白鬚東地区（東白鬚公園）,墨田区堤通二丁目,,公園,
35,都立辰巳の森海浜公園,江東区辰巳１－１－３５,6600,公園,
36,東京ビッグサイト西棟屋外駐車場,江東区有明３－２１－１,,駐車場,がん研究会有明病院
37,都立木場公園多目的広場,江東区平野４－６－１,9360,広場,あそか病院
38,江東区立若洲公園多目的広場,江東区若洲３－２－１,,広場,
39,若洲ゴルフリンクス,江東区若洲３５番,,ゴルフ場,
40,新砂運動場,江東区新砂３－９－１,7380,グラウンド（公共等）,
41,都立亀戸中央公園多目的球技広場,江東区亀戸９－３７,5040,広場,江東病院
42,あそか病院ヘリポート,江東区住吉１－１８－１,,屋上施設,あそか病院
43,都立夢の島陸上競技場,江東区夢の島３,10000,競技場,
44,東京海洋大学越中島キャンパス第２グラウンド,江東区越中島２－１－６,6400,大学グラウンド,
45,有明の丘防災拠点,江東区有明,,ヘリポート,がん研究会有明病院
46,都立猿江恩賜公園,江東区住吉２丁目、毛利２丁目,,公園,都立墨東病院
47,がん研究会有明病院ヘリポート,江東区有明３－８－３１,,屋上施設,がん研究会有明病院
48,江東区立潮見運動公園,江東区潮見１丁目,7585,公園,
49,都立有明テニスの森公園,江東区有明２丁目,8800,公園,
50,都立シンボルプロムナード公園,江東区青海１・２、有明２・３／港区台場一丁目・二丁目,14700,公園,公園は港区と江東区にまたがる
51,都立大島小松川公園少年運動場,江東区大島９丁目９番,6075,野球場,
52,青海フロンティアビル,江東区青海２－４３,,屋上施設,
53,テレコムセンタービル,江東区青海２－３８,,屋上施設,
54,都立大井埠頭中央海浜公園陸上競技場,品川区八潮４－１－１９,20000,競技場,
55,品川区立天王州公園,品川区東品川２－５－４２,21013,公園,
56,品川区立鮫洲運動公園,品川区東大井１－４－１１,7450,公園,
57,品川区立八潮公園多目的広場,品川区八潮５－１１－１６,4200,広場,
58,品川区立西大井広場公園,品川区西大井１－４－１０,4870,公園,東京都保健医療公社荏原病院、昭和大学病院
59,林試の森公園,品川区小山台２,,公園,
60,都立桜修館中等教育学校,目黒区八雲１－１－２,1141,高校グラウンド,
61,目黒区立碑文谷公園（旧第一勧業銀行グラウンド）,目黒区碑文谷６－１２,5000,野球場,
62,東京大学陸上競技場,目黒区駒場３－８,10000,大学グラウンド,
63,駒沢オリンピック公園陸上競技場,目黒区東が丘２,,公園,
64,大田区立平和島公園運動場,大田区平和島４－２－２,17191,グラウンド（公共等）,大森赤十字病院
65,都立大井埠頭中央海浜公園第２球技場,大田区東海１－４,,野球場,
