項目１,項目２,第一本庁舎,第二本庁舎,議会議事堂
構造,,鉄骨造、一部鉄骨鉄筋コンクリート造,鉄骨造、一部鉄骨鉄筋コンクリート造,鉄骨鉄筋コンクリート造
構造階数,,地下３階地上４８階,地下３階地上３４階,地下１階地上７階
面積,敷地（ｍ２）,14349.8,14030.29,14560.96
面積,延床（ｍ２）,196755.04,139949.79,44986.7
電気設備,特高受変電設備（ｋＶ）,66,66,66
電気設備,契約電力（ｋＷ）,9500,9500,9500
電気設備,特別高圧・高圧変電設備電気室（箇所）,35,,
電気設備,高圧変電設備電気室（箇所）,,25,1
電気設備,,○電力事業者からの電力供給に加えて第二本庁舎は、地域冷暖房センターから電力供給を受け、外部電源を二元化,○電力事業者からの電力供給に加えて第二本庁舎は、地域冷暖房センターから電力供給を受け、外部電源を二元化,○電力事業者からの電力供給に加えて第二本庁舎は、地域冷暖房センターから電力供給を受け、外部電源を二元化
非常用発電設備（燃料備蓄量）,定格（ｋＶＡ×台）,４０００×２,１５００×２,１０００×１
非常用発電設備（燃料備蓄量）,（Ｌ×基）,５４５００×４、他,５４５００×２、他,２０００×１
非常用発電設備（燃料備蓄量）,,○停電時、第一本庁舎へ無給油で累計６０時間程度の電力供給が可能また、石油関連団体と連携して、燃料の供給体制を構築／○非常用発電機は、起動後約４０秒で電圧確立し、順次電力の供給を開始,○停電時、第一本庁舎へ無給油で累計６０時間程度の電力供給が可能また、石油関連団体と連携して、燃料の供給体制を構築／○非常用発電機は、起動後約４０秒で電圧確立し、順次電力の供給を開始,○停電時、第一本庁舎へ無給油で累計６０時間程度の電力供給が可能また、石油関連団体と連携して、燃料の供給体制を構築／○非常用発電機は、起動後約４０秒で電圧確立し、順次電力の供給を開始
給水衛生設備,上水受水槽（ｍ３）,180,180,50
給水衛生設備,中水受水槽（ｍ３）,460,500,40
給水衛生設備,,○上水受水槽有効貯水量約２９０ｍ３（約６日間）／○中水・雨水・井水備蓄槽有効貯水量約１２８０ｍ３（約３日間）,○上水受水槽有効貯水量約２９０ｍ３（約６日間）／○中水・雨水・井水備蓄槽有効貯水量約１２８０ｍ３（約３日間）,○上水受水槽有効貯水量約２９０ｍ３（約６日間）／○中水・雨水・井水備蓄槽有効貯水量約１２８０ｍ３（約３日間）
