計測震度,木造旧築年（％）,木造中築年１（％）,木造中築年２（％）,木造新築年１（％）,木造新築年２（％）,木造新築年３（％）,非木造旧築年（％）,非木造中築年（％）,非木造新築年（％）
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.3,0.3,0.1,0.0,0.0,0.0,0.2,0.2,0.0
5.6,0.8,0.8,0.3,0.1,0.0,0.0,0.4,0.4,0.1
5.7,2.1,2.1,0.8,0.2,0.0,0.0,0.7,0.6,0.1
5.8,4.8,4.3,1.7,0.4,0.1,0.0,1.2,1.0,0.2
5.9,9.7,8.2,3.6,0.9,0.2,0.0,2.0,1.7,0.4
6,17.7,14.2,6.9,1.5,0.4,0.1,3.1,2.6,0.6
6.1,28.9,22.7,12.2,2.7,0.9,0.2,4.8,3.9,1.0
6.2,42.7,33.6,19.6,4.4,1.5,0.4,7.2,5.8,1.5
6.3,57.3,46.2,29.3,7.0,2.7,0.9,10.4,8.2,2.3
6.4,71.1,59.4,40.6,10.6,4.4,1.5,14.5,11.4,3.3
6.5,82.3,72.0,52.5,15.3,7.0,2.7,19.5,15.4,4.8
6.6,90.3,82.7,64.1,21.3,10.6,4.4,25.5,20.2,6.7
6.7,95.2,90.9,74.3,28.5,15.3,7.0,32.3,25.8,9.1
6.8,97.9,96.4,82.5,36.7,21.3,10.6,39.7,32.2,12.2
6.9,99.2,99.2,88.6,45.5,28.5,15.3,47.6,39.1,15.9
7,99.7,99.7,92.8,54.5,36.7,21.3,55.6,46.3,20.2
