所属,所属（所在地）,所属（電話番号）,機種,機番号,型式（略称）
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,大型ジェット飛行機,ＬＡＪ５００,ガルフストリーム・エアロスペース式／Ｇ－Ⅴ型／（ガルフＶ）
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,大型ジェット飛行機,ＬＡＪ５０１,ガルフストリーム・エアロスペース式／Ｇ－Ⅴ型／（ガルフＶ）
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,中型飛行機,ＭＡ７２２,ボンバルディア式／ＤＨＣ－８－３１５型／（ボンバル３００）
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,中型飛行機,ＭＡ７２５,ボンバルディア式／ＤＨＣ－８－３１５型／（ボンバル３００）
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ８０５,アエロスパシアル式／ＡＳ３３２Ｌ１型／（スーパーピューマ）
羽田航空基地,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ６８６,ベル式４１２型
巡視船「しきしま」搭載機,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ８０６,アエロスパシアル式／ＡＳ３３２Ｌ１型／（スーパーピューマ）
巡視船「しきしま」搭載機,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ６８６,アエロスパシアル式／ＡＳ３３２Ｌ１型／（スーパーピューマ）
巡視船「あきつしま」搭載機,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ６８９,ユーロコプター式／ＥＣ２２５型／（ＥＣ２２５）
巡視船「あきつしま」搭載機,東京都大田区羽田空港１－１２－１,03-3747-1118,中型回転翼航空機,ＭＨ６９０,ユーロコプター式／ＥＣ２２５型／（ＥＣ２２５）
