災害拠点病院,ヘリコプター緊急離着陸場候補,所在地,現況
駿河台日本大学病院,北の丸公園第３駐車場,千代田区北の丸公園１－１,駐車場
三井記念病院,北の丸公園第３駐車場,千代田区北の丸公園１－１,駐車場
聖路加国際病院,中央区立月島運動場,中央区晴海１－３－２９,グラウンド
東京慈恵会医科大学附属病院,都立芝公園グラウンド,港区芝公園１・２・３・４丁目,グラウンド
東京都済生会中央病院,都立芝公園グラウンド,港区芝公園１・２・３・４丁目,グラウンド
北里大学北里研究所病院,港区立麻布運動場・野球場,港区南麻布５－６－３３,野球場
東京女子医科大学病院,千代田区立外濠公園運動場,千代田区五番町地先,野球場
国立国際医療研究センター病院,国立国際医療研究センターヘリポート,新宿区戸山１－２１－１,屋上施設
慶應義塾大学病院,明治神宮外苑軟式野球場,新宿区霞ヶ丘町１－１,野球場
東京医科大学病院,東京都庁第一本庁舎,新宿区西新宿２－８－１,屋上施設
東京都保健医療公社大久保病院,東京都庁第一本庁舎,新宿区西新宿２－８－１,屋上施設
国立国際医療研究センター病院,新宿区立西戸山公園野球場,新宿区百人町４－１,野球場
東京医科大学病院,新宿区立西戸山公園野球場,新宿区百人町４－１,野球場
社会保険中央総合病院,新宿区立西戸山公園野球場,新宿区百人町４－１,野球場
東京都保健医療公社大久保病院,新宿区立西戸山公園野球場,新宿区百人町４－１,野球場
順天堂大学医学部附属順天堂医院,順天堂大学医学部附属順天堂医院ヘリポート,文京区本郷３－１－３,屋上施設
東京大学医学部附属病院,東京大学医学部付属病院ヘリポート,文京区本郷７－３－１,屋上施設
順天堂大学医学部附属順天堂医院,東京大学御殿下グラウンド,文京区本郷７－３－１,グラウンド
東京大学医学部附属病院,東京大学御殿下グラウンド,文京区本郷７－３－１,グラウンド
日本医科大学付属病院,東京大学御殿下グラウンド,文京区本郷７－３－１,グラウンド
都立駒込病院,東京大学御殿下グラウンド,文京区本郷７－３－１,グラウンド
東京医科歯科大学医学部附属病院,東京大学御殿下グラウンド,文京区本郷７－３－１,グラウンド
東京医科歯科大学医学部附属病院,東京医科歯科大学医学部附属病院ヘリポート,文京区湯島１－５－４５,屋上施設
永寿総合病院,永寿総合病院ヘリポート,台東区東上野２－２３－１６,屋上施設
永寿総合病院,都立上野恩賜公園正岡子規記念球場,台東区上野公園,野球場
白鬚橋病院,墨田区立東墨田運動場,墨田区東墨田１－１０,野球場
都立墨東病院,都立墨東病院専用臨時ヘリポート,墨田区江東橋４－２３－１５,屋上施設
都立墨東病院,都立猿江恩賜公園,江東区住吉２丁目、毛利２丁目,公園
江東病院,都立亀戸中央公園多目的球技広場,江東区亀戸９－３７,広場
順天堂大学医学部附属順天堂東京江東高齢者医療センター,葛西臨海公園第２駐車場,江戸川区臨海町６－２,駐車場
順天堂大学医学部附属順天堂東京江東高齢者医療センター,葛西臨海公園多目的広場,江戸川区臨海町６－２,広場
がん研究会有明病院,東京ビッグサイト西棟屋外駐車場,江東区有明３－２１－１,駐車場
がん研究会有明病院,有明の丘防災拠点,江東区有明,ヘリポート
がん研究会有明病院,がん研究会有明病院ヘリポート,江東区有明３－８－３１,屋上施設
あそか病院,都立木場公園多目的広場,江東区平野４－６－１,広場
あそか病院,あそか病院ヘリポート,江東区住吉１－１８－１,屋上施設
ＮＴＴ東日本関東病院,聖心女子学院グラウンド,港区白金４－１１－１,グラウンド
昭和大学病院,品川区立西大井広場公園,品川区西大井１－４－１０,公園
東京都保健医療公社荏原病院,品川区立西大井広場公園,品川区西大井１－４－１０,公園
国立病院機構東京医療センター,都立駒沢オリンピック公園陸上競技場,世田谷区駒沢公園１－１,競技場
東邦大学医療センター大森病院,東京ガスグラウンド,大田区大森東３－２８－１,グラウンド
大森赤十字病院,大田区立平和島公園運動場,大田区平和島４－２－２,グラウンド
東京都保健医療公社荏原病院,東京都保健医療公社荏原病院ヘリポート,大田区東雪谷４－５－１０,屋上施設
都立松沢病院,都立祖師谷公園少年運動場,世田谷区上祖師谷３－２２－１９,グラウンド
至誠会第二病院,都立祖師谷公園少年運動場,世田谷区上祖師谷３－２２－１９,グラウンド
公立学校共済組合関東中央病院,東京農業大学野球場,世田谷区桜丘１－１,野球場
日本赤十字社医療センター,日本赤十字社医療センターヘリポート,渋谷区広尾４－１－２２,屋上施設
日本赤十字社医療センター,港区立麻布運動場・野球場,港区南麻布５－６－３３,野球場
都立広尾病院,港区立麻布運動場・野球場,港区南麻布５－６－３３,野球場
都立広尾病院,東京都立広尾病院ヘリポート,渋谷区恵比寿２－３４－１０,屋上施設
東京警察病院,中野区立上高田公園野球場,中野区上高田５－７－１,野球場
東京警察病院,東京警察病院ヘリポート,中野区中野４－２２－１,屋上施設
立正佼成会附属佼成病院,東京大学教育学部附属中等教育学校校庭,中野区南台１－１５,校庭
東京医療生活協同組合中野総合病院,東京大学教育学部附属中等教育学校校庭,中野区南台１－１５,校庭
荻窪病院,杉並区立桃井原っぱ公園,杉並区桃井３－８－１,公園
