河川名,水防警報区１,水防警報区２,基準地点,担当事務所
鶴見川,左岸　自,町田市野津田町（丸山橋）,下川戸橋,南多摩東部建設事務所
鶴見川,左岸　至,町田市三輪町（神奈川県境）,下川戸橋,南多摩東部建設事務所
鶴見川,右岸　自,町田市野津田町（丸山橋）,下川戸橋,南多摩東部建設事務所
鶴見川,右岸　至,町田市三輪町（神奈川県境）,下川戸橋,南多摩東部建設事務所
恩田川,左岸　自,町田市本町田（上流端）,高瀬橋,南多摩東部建設事務所
恩田川,左岸　至,町田市成瀬（神奈川県境）,高瀬橋,南多摩東部建設事務所
恩田川,右岸　自,町田市本町田（上流端）,高瀬橋,南多摩東部建設事務所
恩田川,右岸　至,町田市成瀬（神奈川県境）,高瀬橋,南多摩東部建設事務所
真光寺川,左岸　自,町田市広袴３丁目（上流端）,矢崎橋,南多摩東部建設事務所
真光寺川,左岸　至,町田市能ヶ谷町（神奈川県境）,矢崎橋,南多摩東部建設事務所
真光寺川,右岸　自,町田市広袴３丁目（上流端）,矢崎橋,南多摩東部建設事務所
真光寺川,右岸　至,町田市能ヶ谷町（神奈川県境）,矢崎橋,南多摩東部建設事務所
境川,左岸　自,町田市根岸町（根岸橋）,根岸橋,南多摩東部建設事務所
境川,左岸　至,町田市原町田１丁目（境橋）,根岸橋,南多摩東部建設事務所
境川,左岸　自,町田市原町田１丁目（境橋）,境橋,南多摩東部建設事務所
境川,左岸　至,町田市鶴間（神奈川県境）,境橋,南多摩東部建設事務所
