種名,採種期（月）,調整,貯蔵,播種時期（月）
スダジイ,9～10,殺虫水選,保湿低温,3～4
イヌマキ,9～10,花托除去,保湿低温、土中埋蔵,3～4
ユズリハ,10～11,果肉水洗除去,保湿低温,2～3
ヤブツバキ,9～11,陰干脱粒殺虫,保湿低温、土中埋蔵,3～4
オオシマザクラ,5～6,果肉水洗除去,保湿低温,9・2～3
オオバヤシャブシ,10,日乾脱粒,乾燥密封低温,3～4
ハチジョウグワ,8～9,果肉水洗除去,保湿低温,3～4
オオバエゴノキ,9～10,陰干脱粒殺虫,保湿低温、土中埋蔵,2～3
ツゲ,10～11,果肉水洗除去,保湿低温,3～4
ヒサカキ,10～11,果肉水洗除去,保湿低温,3～4
ハチジョウイヌツゲ,10～11,果肉水洗除去,保湿低温,3～4
トベラ,10～12,日乾脱粒,保湿低温,3
ニオイウツギ,10,陰干脱粒,密封低温,3～4
ハチジョウイボタ,2～3,果肉水洗除去,保湿低温,2～3
カジイチゴ,6,果肉水洗除去,保湿低温,3～4
ガクアジサイ,12～1,陰干脱粒,乾燥密封低温,3～4
オオムラサキシキブ,10～11,果肉水洗除去,保湿低温,3～4
ハチジョウススキ,10～11,日乾脱粒,保湿低温,3～4
ユノミネシダ,7～9,-,-,-
